Plainss Price to Free Cash Flow Ratio Historical Data,Plainss Price to Free Cash Flow Ratio Historical Data,Plainss Price to Free Cash Flow Ratio Historical Data,Plainss Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,18.48,,2.23
2024-06-30,18.82,$8.29,2.27
2024-03-31,17.94,$9.45,1.9
2023-12-31,15.38,$12.77,1.2
2023-09-30,15.54,$9.13,1.7
2023-06-30,14.3,$13.66,1.05
2023-03-31,12.65,$1.94,6.51
2022-12-31,12.0,$0.15,77.54
2022-09-30,10.52,$4.91,2.14
2022-06-30,9.76,$1.46,6.69
2021-12-31,9.27,$13.07,0.71
2021-09-30,9.69,$13.58,0.71
2021-06-30,10.56,$9.33,1.13
2021-03-31,8.16,$9.31,0.88
2020-12-31,7.19,$5.60,1.29
2022-03-31,10.72,$6.30,1.7
2020-09-30,5.04,$7.88,0.64
2020-06-30,7.2,$7.21,1.0
2020-03-31,4.45,$7.57,0.59
2019-12-31,14.73,$8.21,1.79
2019-09-30,16.19,$4.41,3.67
2019-06-30,18.76,$8.66,2.17
2019-03-31,18.45,$10.75,1.72
2018-12-31,14.69,$8.17,1.8
2018-09-30,17.67,$16.49,1.07
2018-06-30,17.02,$13.68,1.24
2018-03-31,15.29,$13.93,1.1
2017-12-31,15.22,$17.62,0.86
2017-09-30,14.94,$7.99,1.87
2017-06-30,17.52,$8.57,2.04
2017-03-31,20.55,$4.16,4.94
2016-12-31,22.42,$0.38,58.42
2016-09-30,21.93,$-1.61,0.0
2016-06-30,17.29,$-4.00,0.0
2016-03-31,14.09,$-7.04,0.0
2015-12-31,14.87,$-5.70,0.0
2015-09-30,27.15,$-5.50,0.0
2015-06-30,39.73,$-11.38,0.0
2014-12-31,38.89,$0.34,112.95
2014-09-30,46.1,$4.11,11.22
2014-06-30,47.83,$11.56,4.14
