Viridian Therapeutics Price to Free Cash Flow Ratio Historical Data,Viridian Therapeutics Price to Free Cash Flow Ratio Historical Data,Viridian Therapeutics Price to Free Cash Flow Ratio Historical Data,Viridian Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,24.26,,0.0
2024-06-30,13.01,$-3.08,0.0
2024-03-31,17.51,$-3.41,0.0
2023-12-31,21.78,$-4.14,0.0
2023-09-30,15.34,$-4.53,0.0
2023-06-30,23.79,$-4.01,0.0
2023-03-31,25.44,$-3.61,0.0
2022-12-31,29.21,$-2.95,0.0
2022-09-30,20.51,$-2.97,0.0
2022-06-30,11.57,$-2.80,0.0
2022-03-31,18.49,$-3.59,0.0
2021-12-31,19.77,$-4.60,0.0
2021-09-30,16.45,$-6.32,0.0
2021-06-30,18.29,$-7.30,0.0
2021-03-31,16.71,$-7.42,0.0
2020-12-31,16.45,$-8.38,0.0
2020-09-30,11.63,$-9.12,0.0
2020-06-30,16.65,$-12.39,0.0
2020-03-31,6.69,$-14.34,0.0
2019-12-31,7.2,$-17.30,0.0
2019-09-30,10.97,$-18.19,0.0
2019-06-30,30.75,$-17.07,0.0
2019-03-31,41.85,$-15.35,0.0
2018-12-31,45.45,$-13.82,0.0
2018-09-30,83.7,$-16.75,0.0
2018-06-30,96.15,$-17.31,0.0
2018-03-31,105.15,$-15.68,0.0
2017-12-31,156.45,$-22.13,0.0
2017-09-30,137.25,$-89.50,0.0
2017-06-30,193.95,$-156.80,0.0
2017-03-31,186.6,$-278.61,0.0
2016-12-31,75.15,$-366.39,0.0
2016-09-30,112.5,$-329.21,0.0
2016-06-30,95.62,$-318.58,0.0
2016-03-31,114.75,$-249.01,0.0
2015-12-31,168.3,$-195.29,0.0
2015-09-30,208.35,$-337.14,0.0
2015-06-30,492.75,$-218.27,0.0
2015-03-31,483.75,$-291.73,0.0
