Ameren Price to Free Cash Flow Ratio Historical Data,Ameren Price to Free Cash Flow Ratio Historical Data,Ameren Price to Free Cash Flow Ratio Historical Data,Ameren Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,82.51,,0.0
2024-06-30,71.11,$-4.99,0.0
2024-03-31,73.26,$-1.81,0.0
2023-12-31,71.0,$-1.27,0.0
2023-09-30,72.85,$0.36,200.7
2023-06-30,78.88,$-1.34,0.0
2022-12-31,84.6,$-4.30,0.0
2022-09-30,76.12,$-4.97,0.0
2022-06-30,84.85,$-4.71,0.0
2022-03-31,87.49,$-5.17,0.0
2021-12-31,82.5,$-7.23,0.0
2021-09-30,74.6,$-9.42,0.0
2021-06-30,73.25,$-9.12,0.0
2021-03-31,73.98,$-8.39,0.0
2020-12-31,70.46,$-6.32,0.0
2020-09-30,70.91,$-3.09,0.0
2020-06-30,62.69,$-2.38,0.0
2020-03-31,64.46,$-1.91,0.0
2019-12-31,67.57,$-1.10,0.0
2019-09-30,69.97,$-1.03,0.0
2019-06-30,65.65,$-0.53,0.0
2019-03-31,63.88,$-0.04,0.0
2018-12-31,56.66,$-0.68,0.0
2018-09-30,54.54,$-0.74,0.0
2018-06-30,52.13,$-0.81,0.0
2018-03-31,48.12,$-0.85,0.0
2017-12-31,49.71,$-0.32,0.0
2017-09-30,48.38,$0.15,331.14
2017-06-30,45.39,$0.26,175.6
2017-03-31,44.97,$-0.19,0.0
2016-12-31,42.87,$-0.06,0.0
2016-09-30,39.83,$-0.39,0.0
2016-06-30,43.03,$-0.44,0.0
2016-03-31,39.89,$0.06,614.65
2015-12-31,34.11,$0.25,134.04
2015-09-30,33.03,$0.09,376.61
2015-06-30,29.14,$-0.54,0.0
2015-03-31,32.28,$-0.83,0.0
2014-12-31,34.94,$-1.20,0.0
2014-09-30,28.76,$-0.83,0.0
2014-06-30,30.37,$-0.64,0.0
2014-03-31,30.3,$-0.16,0.0
2013-12-31,26.33,$1.10,23.93
2013-09-30,25.08,$1.55,16.22
2013-06-30,24.5,$1.98,12.4
2013-03-31,24.62,$2.18,11.31
2012-12-31,21.35,$2.21,9.68
2012-09-30,22.4,$2.54,8.83
2012-06-30,22.72,$3.09,7.34
2012-03-31,21.81,$3.00,7.27
2011-12-31,21.9,$3.86,5.67
2011-09-30,19.44,$3.39,5.74
2011-06-30,18.58,$3.86,4.82
2011-03-31,17.85,$4.09,4.37
2010-12-31,17.68,$3.10,5.7
2010-09-30,17.57,$2.30,7.65
2010-06-30,14.51,$1.83,7.94
2010-03-31,15.66,$0.72,21.87
2009-12-31,16.54,$0.85,19.49
2009-09-30,14.75,$-0.11,0.0
