Dana Price to Free Cash Flow Ratio Historical Data,Dana Price to Free Cash Flow Ratio Historical Data,Dana Price to Free Cash Flow Ratio Historical Data,Dana Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,11.09,,23.78
2024-06-30,12.0,$0.47,25.74
2024-03-31,12.49,$0.68,18.46
2023-12-31,14.25,$-0.16,0.0
2023-09-30,14.19,$0.31,45.05
2023-06-30,16.35,$0.90,18.23
2023-03-31,14.37,$0.34,41.97
2022-12-31,14.35,$2.91,4.94
2022-09-30,10.78,$0.31,34.26
2022-06-30,13.19,$-0.31,0.0
2021-12-31,21.13,$-0.86,0.0
2021-09-30,20.51,$0.68,30.2
2021-06-30,21.82,$0.23,96.75
2021-03-31,22.26,$2.12,10.5
2020-12-31,17.78,$1.38,12.93
2022-03-31,16.36,$-1.52,0.0
2020-09-30,11.22,$1.67,6.73
2020-06-30,11.1,$0.72,15.49
2020-03-31,7.11,$1.50,4.74
2019-12-31,16.46,$1.50,10.96
2019-09-30,12.99,$1.58,8.24
2019-06-30,17.93,$0.95,18.81
2019-03-31,15.86,$1.50,10.56
2018-12-31,12.12,$1.66,7.31
2018-09-30,16.49,$0.36,45.7
2018-06-30,17.75,$0.80,22.12
2018-03-31,22.55,$1.05,21.52
2017-12-31,27.92,$1.10,25.47
2017-09-30,24.34,$1.28,18.99
2017-06-30,19.39,$0.43,45.14
2017-03-31,16.72,$0.49,33.88
2016-12-31,16.38,$0.42,38.8
2016-09-30,13.4,$0.34,39.88
2016-06-30,9.04,$0.94,9.58
2016-03-31,12.01,$0.75,15.95
2015-12-31,11.7,$0.91,12.83
2015-09-30,13.42,$1.14,11.74
2015-06-30,17.33,$1.07,16.14
2015-03-31,17.77,$1.30,13.67
2014-12-31,18.22,$1.59,11.45
2014-09-30,16.02,$2.27,7.06
2014-06-30,20.37,$2.53,8.06
2014-03-31,19.36,$2.52,7.68
2013-12-31,16.29,$2.52,6.46
2013-09-30,18.91,$1.94,9.73
2013-06-30,15.91,$1.74,9.17
2013-03-31,14.69,$1.48,9.92
2012-12-31,12.82,$0.82,15.73
2012-09-30,10.07,$0.57,17.65
2012-06-30,10.45,$0.39,26.55
2012-03-31,12.59,$0.18,70.68
2011-12-31,9.84,$0.81,12.18
2011-09-30,8.5,$0.73,11.65
2011-06-30,14.82,$0.57,25.98
2011-03-31,14.08,$0.70,20.06
2010-12-31,13.94,$1.19,11.75
2010-09-30,9.98,$1.58,6.31
2010-06-30,8.1,$2.96,2.74
2010-03-31,9.62,$3.27,2.94
2009-12-31,8.78,$0.99,8.88
