Timken Price to Free Cash Flow Ratio Historical Data,Timken Price to Free Cash Flow Ratio Historical Data,Timken Price to Free Cash Flow Ratio Historical Data,Timken Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,87.24,,19.41
2024-06-30,79.8,$4.50,17.75
2024-03-31,86.75,$4.55,19.05
2023-12-31,79.2,$4.98,15.89
2023-09-30,72.28,$6.54,11.05
2023-06-30,89.65,$5.76,15.57
2023-03-31,79.69,$4.94,16.12
2022-12-31,68.67,$3.97,17.3
2022-09-30,57.12,$2.16,26.48
2022-06-30,51.1,$1.61,31.82
2022-03-31,58.16,$2.61,22.27
2021-12-31,66.09,$3.11,21.24
2021-09-30,62.14,$3.47,17.91
2021-06-30,76.24,$4.26,17.91
2021-03-31,76.52,$5.70,13.42
2020-12-31,72.65,$5.99,12.13
2020-09-30,50.72,$6.73,7.54
2020-06-30,42.33,$6.46,6.55
2020-03-31,29.89,$5.23,5.71
2019-12-31,51.76,$5.41,9.57
2019-09-30,39.78,$4.69,8.48
2019-06-30,46.61,$4.81,9.7
2019-03-31,39.37,$4.11,9.58
2018-12-31,33.46,$2.83,11.84
2018-09-30,44.38,$2.43,18.27
2018-06-30,38.55,$1.02,37.78
2018-03-31,40.13,$0.63,63.64
2017-12-31,43.0,$1.76,24.38
2017-09-30,42.23,$1.91,22.1
2017-06-30,39.98,$2.42,16.54
2017-03-31,38.85,$3.43,11.34
2016-12-31,33.92,$3.38,10.03
2016-09-30,29.82,$3.54,8.42
2016-06-30,25.82,$4.49,5.75
2016-03-31,27.98,$3.64,7.7
2015-12-31,23.68,$3.33,7.11
2015-09-30,22.59,$3.09,7.32
2015-06-30,29.8,$2.10,14.17
2015-03-31,34.13,$1.89,18.06
2014-12-31,34.36,$2.18,15.77
2014-09-30,33.93,$2.87,11.81
2014-06-30,38.37,$3.25,11.79
2014-03-31,33.12,$4.50,7.37
2013-12-31,30.9,$3.17,9.75
2013-09-30,33.78,$5.06,6.67
2013-06-30,31.4,$4.78,6.56
2013-03-31,31.47,$5.07,6.21
2012-12-31,26.53,$5.26,5.05
2012-09-30,20.53,$3.61,5.69
2012-06-30,25.2,$3.49,7.23
2012-03-31,27.84,$1.39,20.05
2011-12-31,21.18,$0.04,509.05
2011-09-30,17.89,$-2.26,0.0
2011-06-30,27.38,$-1.45,0.0
2011-03-31,28.33,$0.13,222.53
2010-12-31,25.79,$2.04,12.65
2010-09-30,20.67,$3.95,5.23
2010-06-30,13.97,$4.13,3.38
2010-03-31,16.08,$4.64,3.47
2009-12-31,12.67,$4.95,2.56
