Bentley Systems Price to Free Cash Flow Ratio Historical Data,Bentley Systems Price to Free Cash Flow Ratio Historical Data,Bentley Systems Price to Free Cash Flow Ratio Historical Data,Bentley Systems Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,50.05,,41.0
2024-06-30,49.36,$1.22,40.44
2024-03-31,52.22,$1.00,52.04
2023-12-31,52.18,$0.48,109.14
2023-09-30,50.16,$0.44,114.39
2023-06-30,54.23,$0.44,124.01
2022-12-31,36.96,$0.78,47.5
2022-09-30,30.59,$1.04,29.4
2022-06-30,33.3,$1.35,24.58
2022-03-31,44.14,$1.35,32.61
2021-12-31,48.25,$1.09,44.18
2023-03-31,42.99,$1.16,37.19
2021-09-30,60.5,$0.90,67.04
2021-06-30,64.6,$1.25,51.58
