EOG Resources Price to Free Cash Flow Ratio Historical Data,EOG Resources Price to Free Cash Flow Ratio Historical Data,EOG Resources Price to Free Cash Flow Ratio Historical Data,EOG Resources Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,128.82,,14.63
2024-06-30,125.01,$8.80,14.2
2024-03-31,126.1,$8.00,15.77
2023-12-31,118.34,$9.07,13.05
2023-09-30,121.76,$9.97,12.21
2023-06-30,109.16,$14.12,7.73
2023-03-31,108.61,$14.01,7.75
2022-12-31,120.75,$10.97,11.0
2022-09-30,102.3,$11.18,9.15
2022-06-30,99.15,$7.20,13.77
2022-03-31,104.96,$7.11,14.76
2021-12-31,76.96,$8.86,8.69
2021-09-30,67.65,$5.53,12.24
2021-06-30,69.04,$4.80,14.39
2021-03-31,59.67,$3.05,19.56
2020-12-31,40.78,$3.00,13.61
2020-09-30,29.11,$3.44,8.45
2020-06-30,40.71,$2.95,13.81
2020-03-31,28.59,$5.48,5.22
2019-12-31,66.46,$3.24,20.53
2019-09-30,58.64,$4.02,14.57
2019-06-30,73.36,$3.95,18.58
2019-03-31,74.79,$2.46,30.4
2018-12-31,68.38,$3.31,20.68
2018-09-30,99.84,$2.11,47.27
2018-06-30,97.24,$0.98,99.52
2018-03-31,82.13,$0.83,98.37
2017-12-31,84.07,$0.64,132.24
2017-09-30,75.23,$1.41,53.19
2017-06-30,70.27,$2.18,32.18
2017-03-31,75.6,$2.12,35.69
2016-12-31,78.22,$1.62,48.34
2016-09-30,74.7,$-0.02,0.0
2016-06-30,64.3,$-0.96,0.0
2016-03-31,55.83,$-1.68,0.0
2015-12-31,54.31,$-2.25,0.0
2015-09-30,55.74,$-0.86,0.0
2015-06-30,66.9,$-0.05,0.0
2015-03-31,69.94,$-0.00,0.0
2014-12-31,70.1,$1.77,39.57
2014-09-30,75.25,$1.57,47.92
2014-06-30,88.71,$1.31,67.73
2014-03-31,74.36,$2.20,33.73
2013-12-31,63.55,$1.88,33.72
2013-09-30,64.03,$0.60,106.26
2013-06-30,49.74,$0.06,889.86
2013-03-31,48.31,$-0.15,0.0
2012-12-31,45.5,$-1.49,0.0
2012-09-30,42.14,$-1.85,0.0
2012-06-30,33.83,$-1.63,0.0
2012-03-31,41.64,$-1.82,0.0
2011-12-31,36.87,$-1.76,0.0
2011-09-30,26.52,$-1.82,0.0
2011-06-30,38.98,$-3.07,0.0
2011-03-31,44.13,$-4.24,0.0
2010-12-31,33.98,$-4.32,0.0
2010-09-30,34.51,$-3.40,0.0
2010-06-30,36.46,$-2.20,0.0
2010-03-31,34.4,$-1.16,0.0
2009-12-31,35.96,$-0.73,0.0
