Highwoods Properties Price to Free Cash Flow Ratio Historical Data,Highwoods Properties Price to Free Cash Flow Ratio Historical Data,Highwoods Properties Price to Free Cash Flow Ratio Historical Data,Highwoods Properties Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,35.98,,11.26
2024-06-30,25.86,$3.20,8.09
2024-03-31,25.29,$2.76,9.17
2023-12-31,21.72,$2.41,9.01
2023-09-30,18.99,$1.76,10.77
2023-06-30,21.55,$0.18,122.43
2023-03-31,20.4,$0.66,30.79
2022-12-31,24.19,$0.79,30.48
2022-09-30,22.9,$2.49,9.2
2022-06-30,28.62,$2.72,10.53
2022-03-31,37.79,$2.16,17.47
2021-12-31,36.42,$2.46,14.81
2021-09-30,35.45,$1.65,21.46
2021-06-30,36.11,$2.92,12.38
2021-03-31,33.96,$2.26,15.03
2020-12-31,30.97,$4.49,6.89
2020-09-30,25.89,$0.33,78.35
2020-06-30,28.43,$0.38,75.43
2020-03-31,26.57,$0.72,36.86
2019-12-31,36.36,$-2.20,0.0
2019-09-30,33.06,$1.35,24.56
2019-06-30,30.06,$1.04,28.84
2019-03-31,33.69,$1.01,33.52
2018-12-31,27.58,$0.53,51.7
2018-09-30,33.34,$0.45,73.44
2018-06-30,35.46,$1.32,26.96
2018-03-31,30.31,$1.04,29.06
2017-12-31,34.85,$1.47,23.63
2017-09-30,35.36,$0.76,46.66
2017-06-30,34.12,$-1.26,0.0
2017-03-31,32.77,$-1.38,0.0
2016-12-31,33.73,$5.23,6.45
2016-09-30,33.62,$5.39,6.24
2016-06-30,33.79,$2.44,13.84
2016-03-31,30.32,$2.44,12.43
2015-12-31,27.37,$-4.12,0.0
2015-09-30,24.08,$-4.84,0.0
2015-06-30,24.58,$-0.50,0.0
2015-03-31,27.89,$-0.56,0.0
2014-12-31,26.73,$-0.77,0.0
2014-09-30,23.25,$1.23,18.9
2014-06-30,24.82,$0.08,318.6
2014-03-31,22.49,$-0.69,0.0
2013-12-31,20.94,$-1.12,0.0
2013-09-30,20.21,$-3.37,0.0
2013-06-30,20.13,$-2.79,0.0
2013-03-31,22.13,$-1.48,0.0
2012-12-31,18.27,$-0.66,0.0
2012-09-30,17.59,$0.82,21.52
2012-06-30,17.91,$0.39,45.48
2012-03-31,17.51,$0.25,71.46
2011-12-31,15.39,$0.37,41.07
2011-09-30,14.45,$0.18,79.85
2011-06-30,16.7,$0.94,17.79
2011-03-31,17.44,$1.10,15.83
2010-12-31,15.67,$1.25,12.51
2010-09-30,15.76,$1.16,13.59
2010-06-30,13.29,$1.12,11.92
2010-03-31,14.98,$1.77,8.48
2009-12-31,15.51,$1.59,9.73
