Gorman-Rupp Price to Free Cash Flow Ratio Historical Data,Gorman-Rupp Price to Free Cash Flow Ratio Historical Data,Gorman-Rupp Price to Free Cash Flow Ratio Historical Data,Gorman-Rupp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,39.44,,12.72
2024-06-30,36.54,$3.10,11.79
2024-03-31,39.15,$2.75,14.23
2023-12-31,35.0,$2.96,11.84
2023-09-30,32.23,$1.88,17.16
2023-06-30,28.09,$0.84,33.38
2023-03-31,24.18,$0.20,122.32
2022-12-31,24.63,$-0.16,0.0
2022-09-30,22.72,$0.04,581.17
2022-06-30,26.87,$0.36,74.92
2022-03-31,33.87,$0.98,34.61
2021-12-31,41.87,$1.37,30.64
2021-09-30,33.53,$2.06,16.24
2021-06-30,32.1,$2.08,15.43
2021-03-31,30.73,$1.89,16.29
2020-12-31,29.97,$1.65,18.12
2020-09-30,27.08,$0.69,39.05
2020-06-30,28.45,$1.60,17.84
2020-03-31,28.42,$1.93,14.71
2019-12-31,34.01,$1.96,17.33
2019-09-30,31.42,$2.25,13.94
2019-06-30,29.65,$1.70,17.43
2019-03-31,30.53,$0.97,31.5
2018-12-31,29.03,$1.16,25.05
2018-09-30,30.74,$1.40,21.89
2018-06-30,29.37,$0.92,31.89
2018-03-31,24.45,$1.63,14.96
2017-12-31,25.97,$1.37,18.92
2017-09-30,27.0,$1.11,24.37
2017-06-30,21.03,$1.44,14.62
2017-03-31,25.81,$1.33,19.41
2016-12-31,25.34,$1.84,13.79
2016-09-30,20.89,$1.63,12.82
2016-06-30,22.27,$1.94,11.51
2016-03-31,20.99,$1.69,12.4
2015-12-31,21.54,$1.26,17.15
2015-09-30,19.24,$1.43,13.42
2015-06-30,22.45,$0.89,25.18
2015-03-31,23.86,$1.03,23.27
2014-12-31,25.5,$0.62,40.81
2014-09-30,23.77,$0.64,37.09
2014-06-30,27.91,$0.80,34.92
2014-03-31,25.01,$1.07,23.45
2013-12-31,26.23,$1.23,21.33
2013-09-30,25.11,$1.61,15.56
2013-06-30,19.87,$1.26,15.81
2013-03-31,18.69,$0.61,30.83
2012-12-31,18.49,$0.62,29.84
2012-09-30,16.67,$0.26,65.31
2012-06-30,18.34,$0.36,50.5
2012-03-31,17.89,$0.33,54.9
2011-12-31,16.6,$0.38,43.75
2011-09-30,15.05,$0.50,30.25
2011-06-30,20.01,$0.35,56.99
2011-03-31,19.1,$0.65,29.37
2010-12-31,15.63,$0.78,20.09
2010-09-30,13.28,$0.71,18.59
2010-06-30,12.03,$0.78,15.5
2010-03-31,12.18,$0.62,19.53
2009-12-31,13.17,$0.45,29.49
