Neurocrine Biosciences Price to Free Cash Flow Ratio Historical Data,Neurocrine Biosciences Price to Free Cash Flow Ratio Historical Data,Neurocrine Biosciences Price to Free Cash Flow Ratio Historical Data,Neurocrine Biosciences Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,118.46,,24.44
2024-06-30,137.67,$4.85,28.41
2024-03-31,137.92,$6.11,22.59
2023-12-31,131.76,$3.58,36.8
2023-09-30,112.5,$3.84,29.31
2023-06-30,94.3,$2.81,33.61
2023-03-31,101.22,$2.38,42.52
2022-12-31,119.44,$3.26,36.58
2022-09-30,106.21,$1.78,59.59
2022-06-30,97.48,$1.37,71.12
2022-03-31,93.75,$1.05,89.71
2021-12-31,85.17,$2.38,35.77
2021-09-30,95.91,$3.29,29.14
2021-06-30,97.32,$2.57,37.82
2021-03-31,97.25,$2.72,35.81
2020-12-31,95.85,$2.22,43.08
2020-09-30,96.16,$2.36,40.77
2020-06-30,122.0,$3.49,34.94
2020-03-31,86.55,$3.01,28.73
2019-12-31,107.49,$1.38,77.76
2019-09-30,90.11,$0.86,104.51
2019-06-30,84.43,$0.48,177.45
2019-03-31,88.1,$-0.03,0.0
2018-12-31,71.41,$0.80,88.94
2018-09-30,122.95,$0.76,161.48
2018-06-30,98.24,$0.03,3837.5
2018-03-31,82.93,$-0.70,0.0
2017-12-31,77.59,$-1.15,0.0
2017-09-30,61.28,$-1.95,0.0
2017-06-30,46.0,$-2.18,0.0
2017-03-31,43.3,$-1.83,0.0
2016-12-31,38.7,$-1.27,0.0
2016-09-30,50.64,$-1.10,0.0
2016-06-30,45.45,$-0.95,0.0
2016-03-31,39.55,$-0.59,0.0
2015-12-31,56.57,$-0.47,0.0
2015-09-30,39.79,$-0.50,0.0
2015-06-30,47.76,$-0.44,0.0
2015-03-31,39.71,$-0.74,0.0
2014-12-31,22.34,$-0.65,0.0
2014-09-30,15.67,$-0.60,0.0
2014-06-30,14.84,$-0.60,0.0
2014-03-31,16.1,$-0.62,0.0
2013-12-31,9.34,$-0.45,0.0
2013-09-30,11.32,$-0.41,0.0
2013-06-30,13.38,$-0.38,0.0
2013-03-31,12.16,$-0.33,0.0
2012-12-31,7.48,$-0.54,0.0
2012-09-30,7.98,$-0.22,0.0
2012-06-30,7.9,$-0.05,0.0
2012-03-31,7.97,$-0.05,0.0
2011-12-31,8.5,$-0.02,0.0
2011-09-30,5.98,$-0.25,0.0
2011-06-30,8.05,$-0.28,0.0
2011-03-31,7.59,$1.05,7.21
2010-12-31,7.64,$0.95,8.08
2010-09-30,6.06,$0.63,9.65
2010-06-30,5.6,$0.35,15.79
2010-03-31,2.55,$-1.22,0.0
2009-12-31,2.72,$-1.33,0.0
