Masimo Price to Free Cash Flow Ratio Historical Data,Masimo Price to Free Cash Flow Ratio Historical Data,Masimo Price to Free Cash Flow Ratio Historical Data,Masimo Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,142.95,,47.92
2024-06-30,125.94,$2.98,42.21
2024-03-31,146.85,$1.77,83.03
2023-12-31,117.21,$0.93,126.56
2023-09-30,87.68,$-0.72,0.0
2023-06-30,164.55,$-0.28,0.0
2023-03-31,184.54,$-0.62,0.0
2022-12-31,147.95,$-0.42,0.0
2022-09-30,141.16,$2.91,48.56
2022-06-30,130.67,$3.19,40.9
2022-03-31,145.54,$4.19,34.73
2021-12-31,292.78,$5.05,57.99
2021-06-30,242.45,$2.69,90.29
2021-03-31,229.66,$3.17,72.53
2020-12-31,268.38,$2.39,112.31
2020-09-30,236.06,$2.50,94.28
2020-06-30,227.99,$2.69,84.79
2020-03-31,177.12,$2.15,82.3
2019-12-31,158.06,$2.68,58.89
2019-09-30,148.79,$2.72,54.75
2019-06-30,148.82,$3.68,40.48
2019-03-31,138.28,$4.59,30.1
2018-12-31,107.37,$4.73,22.69
2018-09-30,124.54,$3.56,34.97
2018-03-31,87.95,$1.28,68.75
2017-12-31,84.8,$0.22,382.84
2017-09-30,86.56,$5.58,15.52
2017-06-30,91.18,$6.21,14.67
2017-03-31,93.26,$7.42,12.57
2016-12-31,67.4,$7.51,8.98
2016-09-30,59.49,$2.35,25.33
2016-06-30,52.52,$2.04,25.71
2016-03-31,41.84,$1.47,28.51
2015-12-31,41.51,$1.24,33.37
2015-09-30,38.56,$0.65,59.0
2015-06-30,38.74,$0.85,45.42
2015-03-31,32.98,$0.04,818.36
2014-12-31,26.34,$0.37,71.23
2014-09-30,21.28,$0.07,284.87
2014-06-30,23.6,$-0.11,0.0
2014-03-31,27.31,$0.76,36.01
2013-12-31,29.23,$0.79,36.79
2013-09-30,26.64,$0.98,27.15
2013-06-30,21.2,$1.15,18.42
2013-03-31,19.62,$-0.62,0.0
2012-12-31,21.01,$-0.11,0.0
2012-09-30,23.07,$0.02,1318.27
2012-06-30,21.35,$-0.08,0.0
2018-06-30,97.65,$1.87,52.13
2011-12-31,17.83,$1.21,14.68
2011-09-30,20.64,$1.32,15.68
2011-06-30,28.32,$1.38,20.48
2011-03-31,31.58,$1.33,23.74
2010-12-31,27.74,$1.07,25.83
2012-03-31,22.31,$1.15,19.38
2010-09-30,25.46,$1.07,23.87
2010-06-30,22.2,$1.13,19.62
2010-03-31,24.75,$1.20,20.63
2009-12-31,26.39,$0.72,36.53
2009-09-30,22.73,$2.98,7.62
