Zai Lab Price to Free Cash Flow Ratio Historical Data,Zai Lab Price to Free Cash Flow Ratio Historical Data,Zai Lab Price to Free Cash Flow Ratio Historical Data,Zai Lab Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,26.36,,0.0
2024-06-30,17.33,$-2.12,0.0
2024-03-31,16.02,$-2.30,0.0
2023-12-31,27.33,$-2.12,0.0
2023-09-30,24.31,$-3.15,0.0
2023-06-30,27.73,$-3.95,0.0
2023-03-31,33.26,$-3.84,0.0
2022-12-31,30.7,$-4.09,0.0
2022-09-30,34.2,$-4.71,0.0
2022-06-30,34.68,$-5.03,0.0
2022-03-31,43.98,$-5.18,0.0
2021-12-31,62.85,$-6.10,0.0
2021-09-30,105.39,$-4.87,0.0
2021-06-30,176.99,$-4.94,0.0
2021-03-31,133.43,$-4.85,0.0
2020-12-31,135.34,$-2.91,0.0
2020-09-30,83.17,$-2.34,0.0
2020-03-31,51.48,$-0.56,0.0
2019-06-30,34.87,0,0.0
2018-12-31,23.22,0,0.0
