Huntington Ingalls Industries Price to Free Cash Flow Ratio Historical Data,Huntington Ingalls Industries Price to Free Cash Flow Ratio Historical Data,Huntington Ingalls Industries Price to Free Cash Flow Ratio Historical Data,Huntington Ingalls Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,282.77,,33.55
2024-06-30,245.2,$8.43,29.09
2024-03-31,290.14,$11.28,25.71
2023-12-31,257.29,$16.99,15.14
2023-09-30,201.63,$18.47,10.92
2023-06-30,223.05,$9.02,24.73
2023-03-31,201.61,$13.87,14.54
2022-12-31,223.38,$12.02,18.58
2022-09-30,213.33,$3.52,60.57
2022-06-30,208.77,$12.57,16.61
2022-03-31,190.09,$7.92,24.01
2021-12-31,176.9,$10.65,16.62
2021-09-30,181.73,$18.34,9.91
2021-06-30,197.29,$15.43,12.79
2021-03-31,191.69,$17.88,10.72
2020-12-31,157.77,$18.23,8.66
2020-09-30,129.36,$15.96,8.11
2020-06-30,159.31,$18.17,8.77
2020-03-31,165.5,$11.16,14.83
2019-12-31,226.79,$8.84,25.65
2019-09-30,190.68,$10.69,17.84
2019-06-30,201.5,$0.01,13801.48
2019-03-31,185.0,$7.13,25.94
2018-12-31,169.25,$10.59,15.98
2018-09-30,227.74,$5.54,41.14
2018-06-30,192.22,$10.57,18.18
2018-03-31,227.83,$-0.76,0.0
2017-12-31,207.76,$2.51,82.77
2017-09-30,198.98,$0.55,362.45
2017-06-30,163.12,$2.87,56.78
2016-12-31,160.46,$11.46,14.0
2016-09-30,133.2,$13.99,9.52
2016-06-30,145.45,$14.33,10.15
2016-03-31,118.15,$14.50,8.15
2015-12-31,109.03,$14.60,7.47
2015-09-30,91.76,$15.14,6.06
2015-06-30,96.06,$15.08,6.37
2015-03-31,119.19,$17.21,6.93
2014-12-31,95.38,$11.97,7.97
2014-09-30,88.06,$9.26,9.51
2014-06-30,79.78,$9.80,8.14
2014-03-31,86.07,$-6.26,0.0
2013-12-31,75.62,$4.57,16.55
2013-09-30,56.48,$1.90,29.67
2013-06-30,47.26,$-0.54,0.0
2012-12-31,36.12,$3.39,10.64
2012-09-30,34.96,$12.89,2.71
2012-06-30,33.45,$2.09,15.99
2012-03-31,33.45,$-8.20,0.0
2011-12-31,26.0,$2.92,8.9
2011-03-31,34.5,$-18.73,0.0
2013-03-31,44.54,$-9.12,0.0
