Redwood Trust Price to Free Cash Flow Ratio Historical Data,Redwood Trust Price to Free Cash Flow Ratio Historical Data,Redwood Trust Price to Free Cash Flow Ratio Historical Data,Redwood Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,7.66,,0.0
2024-06-30,6.35,$-39.64,0.0
2024-03-31,6.08,$-25.48,0.0
2023-12-31,6.9,$-17.34,0.0
2023-09-30,6.5,$-7.58,0.0
2023-06-30,5.68,$3.12,1.82
2023-03-31,5.86,$1.78,3.28
2022-12-31,5.66,$-1.19,0.0
2022-09-30,4.65,$-14.55,0.0
2022-06-30,6.03,$-25.48,0.0
2022-03-31,7.98,$-35.31,0.0
2021-12-31,9.79,$-40.08,0.0
2021-09-30,9.4,$-29.85,0.0
2021-06-30,8.66,$-23.52,0.0
2021-03-31,7.36,$-9.17,0.0
2020-12-31,6.11,$-4.44,0.0
2020-09-30,5.15,$-0.96,0.0
2020-06-30,4.71,$-3.87,0.0
2020-03-31,3.34,$-9.00,0.0
2019-12-31,10.64,$-8.52,0.0
2019-09-30,10.37,$-11.56,0.0
2019-06-30,10.26,$-12.21,0.0
2019-03-31,9.84,$-14.96,0.0
2018-12-31,9.01,$-14.65,0.0
2018-09-30,9.53,$-22.56,0.0
2018-06-30,9.49,$-20.78,0.0
2018-03-31,8.76,$-20.71,0.0
2017-12-31,8.24,$-16.80,0.0
2017-09-30,8.89,$-3.97,0.0
2017-06-30,9.14,$-4.62,0.0
2017-03-31,8.76,$-4.36,0.0
2016-12-31,7.89,$-5.57,0.0
2016-09-30,7.21,$-10.18,0.0
2016-06-30,6.89,$-15.47,0.0
2016-03-31,6.39,$-12.03,0.0
2015-12-31,6.31,$-14.79,0.0
2015-09-30,6.47,$-17.57,0.0
2015-06-30,7.19,$-14.82,0.0
2015-03-31,8.05,$-17.71,0.0
2014-12-31,8.74,$-21.05,0.0
2014-09-30,7.26,$-12.43,0.0
2014-06-30,8.39,$-0.88,0.0
2014-03-31,8.61,$-1.91,0.0
2013-12-31,8.12,$-2.37,0.0
2013-09-30,8.13,$-7.55,0.0
2013-06-30,6.91,$-14.93,0.0
2013-03-31,9.29,$-9.24,0.0
2012-12-31,6.69,$-6.98,0.0
2012-09-30,5.64,$-5.15,0.0
2012-06-30,4.78,$-2.97,0.0
2012-03-31,4.2,$-2.91,0.0
2011-12-31,3.74,$0.23,16.41
2011-09-30,4.01,$0.74,5.41
2011-06-30,5.31,$1.09,4.85
2011-03-31,5.37,$-0.19,0.0
2010-12-31,5.07,$0.38,13.37
2010-09-30,4.83,$0.73,6.63
2010-06-30,4.81,$1.10,4.35
2010-03-31,4.98,$3.14,1.59
2009-12-31,4.6,$3.05,1.51
