Enerpac Tool Group Price to Free Cash Flow Ratio Historical Data,Enerpac Tool Group Price to Free Cash Flow Ratio Historical Data,Enerpac Tool Group Price to Free Cash Flow Ratio Historical Data,Enerpac Tool Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,44.58,,31.19
2024-05-31,39.28,$1.43,27.49
2024-02-29,33.68,$1.16,29.05
2023-11-30,27.27,$0.78,35.15
2023-08-31,26.18,$1.21,21.7
2023-05-31,25.4,$1.05,24.08
2023-02-28,26.9,$0.83,32.51
2022-11-30,25.02,$1.13,22.05
2022-08-31,19.34,$0.74,26.05
2022-05-31,19.46,$0.47,41.59
2022-02-28,17.2,$0.93,18.44
2021-11-30,21.05,$0.83,25.5
2021-08-31,25.09,$1.07,23.47
2021-05-31,27.32,$0.79,34.56
2021-02-28,24.63,$0.48,51.5
2020-11-30,22.33,$0.30,74.22
2020-08-31,20.74,$-0.24,0.0
