Galapagos Price to Free Cash Flow Ratio Historical Data,Galapagos Price to Free Cash Flow Ratio Historical Data,Galapagos Price to Free Cash Flow Ratio Historical Data,Galapagos Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,30.24,,0.0
2024-03-31,32.2,$-9.34,0.0
2022-12-31,44.38,$-8.45,0.0
2022-09-30,42.64,$-8.56,0.0
2022-06-30,55.8,$-9.55,0.0
2022-03-31,62.02,$-8.94,0.0
2021-12-31,55.13,$-10.08,0.0
2021-09-30,52.61,$-7.59,0.0
2021-06-30,68.89,$-8.62,0.0
2021-03-31,77.09,$-9.37,0.0
2020-12-31,98.98,$-8.25,0.0
2020-09-30,141.91,$-9.51,0.0
2020-06-30,197.29,$58.66,3.36
2020-03-31,195.92,$59.68,3.28
2019-12-31,206.83,$59.37,3.48
2019-09-30,152.66,$60.18,2.54
2019-06-30,128.93,$-4.30,0.0
2019-03-31,117.78,$-4.01,0.0
2018-12-31,91.74,$-3.46,0.0
2018-09-30,112.43,$-2.72,0.0
2018-06-30,92.18,$3.36,27.41
2018-03-31,99.76,$3.57,27.98
2017-03-31,86.19,$3.97,21.68
2016-03-31,41.82,$2.32,18.04
