WaFd Price to Free Cash Flow Ratio Historical Data,WaFd Price to Free Cash Flow Ratio Historical Data,WaFd Price to Free Cash Flow Ratio Historical Data,WaFd Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,36.95,,6.72
2024-06-30,28.38,$5.50,5.16
2024-03-31,28.56,$5.60,5.1
2023-12-31,32.12,$4.00,8.04
2023-09-30,24.74,$3.30,7.51
2023-06-30,25.37,$3.64,6.97
2023-03-31,28.55,$4.62,6.18
2022-12-31,31.57,$4.76,6.64
2022-09-30,28.02,$4.11,6.82
2022-06-30,27.86,$3.69,7.54
2022-03-31,30.23,$3.07,9.83
2021-12-31,30.53,$3.62,8.44
2021-09-30,31.18,$4.38,7.12
2021-06-30,28.68,$3.75,7.66
2021-03-31,27.6,$3.75,7.37
2020-12-31,22.88,$2.05,11.18
2020-09-30,18.35,$2.47,7.42
2020-06-30,23.4,$2.70,8.68
2020-03-31,22.43,$2.72,8.26
2019-12-31,31.47,$3.58,8.78
2019-09-30,31.58,$2.66,11.87
2019-06-30,29.65,$2.39,12.38
2019-03-31,24.37,$1.83,13.3
2018-12-31,22.38,$1.96,11.4
2018-09-30,26.64,$1.92,13.86
2018-06-30,27.08,$1.99,13.6
2018-03-31,28.5,$2.23,12.81
2017-12-31,28.08,$2.03,13.83
2017-09-30,27.47,$1.90,14.46
2017-06-30,26.98,$1.96,13.79
2017-03-31,26.78,$1.94,13.78
2016-12-31,27.45,$2.04,13.49
2016-09-30,21.21,$2.12,10.02
2016-06-30,19.18,$2.03,9.45
2016-03-31,17.81,$1.73,10.27
2015-12-31,18.61,$1.45,12.84
2015-09-30,17.67,$1.07,16.51
2015-06-30,18.04,$1.12,16.05
2015-03-31,16.75,$1.08,15.5
2014-12-31,16.9,$0.95,17.71
2014-09-30,15.42,$1.20,12.85
2014-06-30,16.91,$0.91,18.58
2014-03-31,17.49,$1.11,15.82
2013-12-31,17.48,$1.41,12.43
2013-09-30,15.38,$1.45,10.6
2013-06-30,13.98,$0.71,19.73
2013-03-31,12.89,$1.14,11.35
2012-12-31,12.43,$0.93,13.38
2012-09-30,12.15,$1.33,9.11
2012-06-30,12.26,$2.08,5.9
2012-03-31,12.16,$1.91,6.37
2011-12-31,10.11,$2.47,4.09
2011-09-30,9.11,$2.25,4.04
2011-06-30,11.71,$2.76,4.24
2011-03-31,12.31,$3.40,3.62
2010-12-31,12.01,$2.54,4.73
2010-09-30,10.78,$2.11,5.11
2010-06-30,11.38,$2.12,5.37
2010-03-31,14.29,$1.45,9.82
2009-12-31,13.56,$2.23,6.08
