Greif Price to Free Cash Flow Ratio Historical Data,Greif Price to Free Cash Flow Ratio Historical Data,Greif Price to Free Cash Flow Ratio Historical Data,Greif Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,65.2,,18.81
2024-07-31,66.1,$3.47,19.07
2024-04-30,60.25,$6.05,9.96
2024-01-31,61.05,$8.73,7.0
2023-10-31,61.43,$9.36,6.56
2023-07-31,71.02,$11.36,6.25
2023-04-30,59.86,$11.75,5.09
2023-01-31,67.52,$10.22,6.61
2022-10-31,62.12,$10.32,6.02
2022-07-31,65.76,$7.71,8.53
2022-04-30,56.06,$5.29,10.59
2022-01-31,54.24,$5.62,9.65
2021-10-31,58.85,$5.58,10.55
2021-07-31,54.76,$7.52,7.28
2021-04-30,54.26,$8.44,6.43
2021-01-31,40.2,$7.45,5.4
2020-10-31,35.81,$7.37,4.86
2020-07-31,30.33,$6.53,4.64
2020-04-30,29.16,$6.42,4.54
2020-01-31,34.27,$5.64,6.08
2019-10-31,32.88,$5.31,6.19
2019-07-31,29.02,$5.15,5.64
2019-04-30,32.38,$3.38,9.59
2019-01-31,31.61,$-2.66,0.0
2018-10-31,37.95,$1.55,24.54
2018-07-31,43.35,$-0.19,0.0
2018-04-30,46.24,$0.37,124.88
2017-10-31,43.24,$4.36,9.92
2017-07-31,43.35,$6.73,6.44
2017-04-30,44.97,$3.74,12.01
2017-01-31,43.83,$4.48,9.78
2016-10-31,35.4,$7.21,4.91
2018-01-31,46.35,$0.21,219.35
2016-07-31,30.05,$4.10,7.33
2016-04-30,25.71,$3.63,7.08
2016-01-31,19.3,$2.41,8.02
2015-10-31,23.61,$1.70,13.87
2015-07-31,22.06,$1.75,12.59
2015-04-30,28.7,$1.09,26.22
2015-01-31,26.61,$2.50,10.65
2014-10-31,30.42,$2.45,12.41
2014-07-31,34.33,$2.23,15.38
2014-04-30,36.79,$2.94,12.5
2014-01-31,34.09,$3.21,10.63
2013-10-31,35.73,$3.08,11.59
2013-07-31,36.64,$3.19,11.49
2013-04-30,31.66,$4.31,7.35
2013-01-31,30.63,$5.41,5.66
2012-10-31,27.1,$6.71,4.04
2012-07-31,27.68,$7.01,3.95
2012-04-30,33.98,$4.68,7.25
2012-01-31,30.45,$-0.57,0.0
2011-10-31,27.87,$2.68,10.39
2011-07-31,37.67,$1.11,33.79
2011-04-30,38.07,$0.68,55.7
2010-10-31,35.52,$0.64,55.58
2010-07-31,35.81,$4.41,8.13
2010-04-30,35.29,$1.25,28.31
2010-01-31,28.63,$4.29,6.68
2009-10-31,31.45,$7.56,4.16
2011-01-31,38.39,$-1.77,0.0
