Flowers Foods Price to Free Cash Flow Ratio Historical Data,Flowers Foods Price to Free Cash Flow Ratio Historical Data,Flowers Foods Price to Free Cash Flow Ratio Historical Data,Flowers Foods Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,23.07,,18.25
2024-06-30,21.98,$1.26,17.38
2024-03-31,23.51,$1.27,18.52
2023-12-31,22.06,$1.04,21.14
2023-09-30,21.49,$0.92,23.27
2023-06-30,23.88,$0.81,29.37
2023-03-31,26.07,$0.70,37.43
2022-12-31,27.12,$0.94,28.99
2022-09-30,23.13,$0.39,59.82
2022-06-30,24.46,$0.31,79.02
2022-03-31,23.69,$0.70,33.87
2021-12-31,25.12,$0.69,36.41
2021-09-30,21.43,$1.39,15.46
2021-06-30,21.76,$1.41,15.45
2021-03-31,21.22,$1.64,12.91
2020-12-31,20.0,$1.70,11.73
2020-09-30,21.3,$1.67,12.79
2020-06-30,19.42,$1.58,12.29
2020-03-31,17.67,$1.30,13.59
2019-12-31,18.56,$1.25,14.8
2019-09-30,19.58,$1.18,16.6
2019-06-30,19.53,$1.22,15.97
2019-03-31,17.75,$0.96,18.52
2018-12-31,15.24,$0.94,16.26
2018-09-30,15.4,$0.99,15.55
2018-06-30,17.03,$1.07,15.95
2018-03-31,17.72,$1.10,16.07
2017-12-31,15.52,$1.27,12.22
2017-09-30,14.99,$1.27,11.85
2017-06-30,13.66,$1.23,11.13
2017-03-31,15.18,$1.35,11.27
2016-12-31,15.49,$1.30,11.96
2016-09-30,11.61,$1.20,9.69
2016-06-30,14.24,$1.09,13.09
2016-03-31,13.9,$1.20,11.58
2015-12-31,16.05,$1.22,13.21
2015-09-30,18.36,$1.49,12.33
2015-06-30,15.6,$1.49,10.45
2015-03-31,16.66,$1.24,13.4
2014-12-31,13.97,$1.26,11.12
2014-09-30,13.27,$0.96,13.88
2014-06-30,15.15,$0.84,18.02
2014-03-31,15.32,$0.99,15.44
2013-12-31,15.25,$0.82,18.55
2013-09-30,15.15,$0.80,19.03
2013-06-30,15.5,$0.87,17.91
2013-03-31,15.36,$0.81,18.92
2012-12-31,10.79,$0.73,14.85
2012-09-30,9.29,$0.81,11.43
2012-06-30,10.62,$0.69,15.44
2012-03-31,9.25,$0.30,30.59
2011-12-31,8.55,$0.33,26.11
2011-09-30,8.7,$0.41,21.02
2011-06-30,9.78,$0.64,15.34
2011-03-31,7.99,$1.00,8.01
2010-12-31,7.84,$1.01,7.79
2010-09-30,7.18,$0.98,7.32
2010-06-30,7.01,$0.88,7.97
2010-03-31,7.04,$0.87,8.11
2009-12-31,6.72,$0.82,8.2
