Protagonist Therapeutics Price to Free Cash Flow Ratio Historical Data,Protagonist Therapeutics Price to Free Cash Flow Ratio Historical Data,Protagonist Therapeutics Price to Free Cash Flow Ratio Historical Data,Protagonist Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,47.02,,12.53
2024-06-30,34.65,$3.75,9.23
2024-03-31,28.93,$-1.00,0.0
2023-12-31,22.93,$-1.25,0.0
2023-09-30,16.68,$-2.13,0.0
2023-06-30,27.62,$-2.23,0.0
2023-03-31,23.0,$-2.12,0.0
2022-12-31,10.91,$-2.22,0.0
2022-09-30,8.43,$-2.22,0.0
2022-06-30,7.91,$-2.23,0.0
2022-03-31,23.68,$-2.48,0.0
2021-12-31,34.2,$-2.35,0.0
2021-09-30,17.72,$-2.38,0.0
2021-06-30,44.88,$-2.16,0.0
2021-03-31,25.9,$-2.20,0.0
2020-12-31,20.16,$-2.12,0.0
2020-09-30,19.55,$-2.05,0.0
2020-06-30,17.66,$-2.22,0.0
2020-03-31,7.06,$-1.53,0.0
2019-12-31,7.05,$-1.64,0.0
2019-09-30,12.01,$-1.54,0.0
2019-06-30,12.11,$-1.37,0.0
2019-03-31,12.57,$-2.22,0.0
2018-12-31,6.73,$-2.26,0.0
2018-09-30,10.29,$-2.60,0.0
2018-06-30,6.72,$0.10,69.06
2018-03-31,8.59,$0.07,114.84
2017-12-31,20.8,$0.18,114.79
2017-09-30,17.67,$-1.21,0.0
2017-06-30,11.31,$-6.03,0.0
