Tetra Tech Price to Free Cash Flow Ratio Historical Data,Tetra Tech Price to Free Cash Flow Ratio Historical Data,Tetra Tech Price to Free Cash Flow Ratio Historical Data,Tetra Tech Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,48.86,,37.04
2024-06-30,40.84,$1.32,30.96
2024-03-31,36.85,$1.28,28.75
2023-12-31,33.25,$0.08,411.01
2023-09-30,30.23,$0.27,111.36
2023-06-30,32.51,$0.21,156.21
2023-03-31,29.11,$0.07,390.78
2022-09-30,25.39,$1.22,20.87
2022-06-30,26.94,$2.01,13.38
2022-03-31,32.48,$1.73,18.77
2021-12-31,33.39,$1.64,20.35
2021-09-30,29.33,$1.78,16.52
2022-12-31,28.73,$0.88,32.54
2021-06-30,23.93,$1.04,22.99
2021-03-31,26.57,$1.23,21.57
2020-12-31,22.64,$1.16,19.45
2020-09-30,18.65,$0.97,19.15
2020-06-30,15.42,$1.05,14.62
2020-03-31,13.73,$0.66,20.75
2019-12-31,16.73,$0.68,24.52
2019-09-30,16.81,$0.69,24.37
2019-06-30,15.2,$0.74,20.59
2019-03-31,11.5,$0.88,13.09
2018-12-31,9.97,$0.76,13.08
2018-09-30,13.15,$0.62,21.15
2018-06-30,11.25,$0.56,20.21
2018-03-31,9.39,$0.74,12.7
2017-12-31,9.22,$0.25,36.88
2017-09-30,8.89,$0.63,14.2
2017-03-31,7.77,$0.53,14.74
2016-12-31,8.19,$-0.24,0.0
2016-09-30,6.72,$0.04,152.3
2016-06-30,5.81,$0.21,27.61
2016-03-31,5.61,$0.07,75.87
2015-09-30,4.55,$0.48,9.4
2015-06-30,4.78,$0.53,9.04
2015-03-31,4.47,$0.10,43.55
2014-12-31,4.95,$0.21,23.33
2014-09-30,4.62,$0.23,19.95
2017-06-30,8.72,$0.22,38.98
2014-06-30,5.07,$0.37,13.86
2014-03-31,5.45,$0.42,12.9
2013-12-31,5.15,$0.46,11.15
2013-09-30,4.76,$0.46,10.45
2013-06-30,4.33,$0.45,9.65
2015-12-31,4.88,$0.29,17.14
2013-03-31,5.61,$0.37,15.19
2012-12-31,4.87,$0.35,13.78
2012-09-30,4.83,$0.42,11.53
2012-06-30,4.8,$0.45,10.78
2012-03-31,4.85,$0.46,10.64
2011-12-31,3.97,$0.45,8.74
2011-09-30,3.45,$0.36,9.53
2011-06-30,4.14,$0.39,10.54
2011-03-31,4.54,$0.29,15.8
2010-12-31,4.61,$0.33,14.02
2010-09-30,3.86,$0.28,13.55
2010-06-30,3.61,$0.44,8.14
2010-03-31,4.24,$0.57,7.43
2009-12-31,5.0,$0.56,8.93
