Five9 Price to Free Cash Flow Ratio Historical Data,Five9 Price to Free Cash Flow Ratio Historical Data,Five9 Price to Free Cash Flow Ratio Historical Data,Five9 Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,29.97,,23.65
2024-06-30,44.1,$1.27,34.8
2024-03-31,62.11,$1.30,47.68
2023-12-31,78.69,$1.35,58.09
2023-09-30,64.3,$1.38,46.61
2023-06-30,82.45,$1.19,69.3
2023-03-31,72.29,$0.62,117.3
2022-12-31,67.86,$0.52,129.65
2022-09-30,74.98,$0.07,1104.27
2022-06-30,91.14,$-0.41,0.0
2022-03-31,110.4,$-0.04,0.0
2021-12-31,137.32,$-0.20,0.0
2021-09-30,159.74,$0.03,4740.06
2021-06-30,183.39,$0.50,368.99
2021-03-31,156.33,$0.59,266.14
2020-12-31,174.4,$0.57,303.36
2020-09-30,129.68,$0.57,225.61
2020-06-30,110.67,$0.53,208.89
2020-03-31,76.46,$0.48,159.62
2019-12-31,65.58,$0.53,123.76
2019-09-30,53.74,$0.56,95.45
2019-06-30,51.29,$0.45,113.95
2019-03-31,52.83,$0.49,107.18
2018-12-31,43.72,$0.51,86.47
2018-09-30,43.69,$0.36,119.73
2018-06-30,34.57,$0.39,88.89
2018-03-31,29.79,$0.29,101.12
2017-12-31,24.88,$0.15,161.66
2017-09-30,23.9,$0.16,149.84
2017-06-30,21.52,$0.06,361.68
2017-03-31,16.46,$0.11,154.84
2016-12-31,14.19,$0.11,130.18
2016-09-30,15.68,$0.05,337.2
2016-06-30,11.9,$-0.05,0.0
2016-03-31,8.89,$-0.16,0.0
2015-12-31,8.7,$-0.28,0.0
2015-09-30,3.7,$-0.50,0.0
2015-06-30,5.23,$-0.56,0.0
2015-03-31,5.56,$-0.79,0.0
