QuidelOrtho Price to Free Cash Flow Ratio Historical Data,QuidelOrtho Price to Free Cash Flow Ratio Historical Data,QuidelOrtho Price to Free Cash Flow Ratio Historical Data,QuidelOrtho Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,40.07,,0.0
2024-06-30,33.22,$-2.53,0.0
2024-03-31,47.94,$-1.77,0.0
2023-12-31,73.7,$1.06,69.44
2023-09-30,73.04,$4.12,17.73
2023-06-30,82.86,$0.79,105.34
2023-03-31,89.09,$3.52,25.33
2022-12-31,85.67,$12.97,6.61
2022-09-30,71.48,$16.12,4.43
2022-06-30,97.18,$18.77,5.18
2022-03-31,112.46,$11.59,9.7
2021-12-31,134.99,$11.96,11.29
2021-09-30,141.15,$14.68,9.61
2021-06-30,128.12,$16.50,7.76
2021-03-31,127.93,$23.33,5.48
2020-12-31,179.65,$12.95,13.87
2020-09-30,219.38,$4.46,49.22
2020-06-30,223.74,$3.44,65.02
2020-03-31,97.81,$3.11,31.43
2019-12-31,75.03,$2.49,30.16
2019-09-30,61.35,$2.40,25.6
2019-06-30,59.32,$2.65,22.4
2019-03-31,65.47,$-1.12,0.0
2018-12-31,48.82,$2.46,19.85
2018-09-30,65.17,$1.83,35.6
2018-06-30,66.5,$1.13,59.08
2018-03-31,51.81,$3.77,13.73
2017-12-31,43.35,$0.30,143.4
2017-09-30,43.86,$0.49,88.71
2017-06-30,27.14,$0.72,37.96
2017-03-31,22.64,$1.05,21.54
2016-12-31,21.42,$-0.00,0.0
2016-09-30,22.09,$-0.05,0.0
2016-06-30,17.86,$-0.12,0.0
2016-03-31,17.26,$-0.52,0.0
2015-12-31,21.2,$0.58,36.43
2015-09-30,18.88,$0.69,27.21
2015-06-30,22.95,$0.86,26.72
2015-03-31,26.98,$0.99,27.36
2014-12-31,28.92,$0.71,40.76
2014-09-30,26.87,$0.19,144.85
2014-06-30,22.11,$-0.07,0.0
2014-03-31,27.3,$-0.24,0.0
2013-12-31,30.89,$0.14,222.07
2013-09-30,28.4,$0.47,61.06
2013-06-30,25.53,$0.70,36.3
2013-03-31,23.75,$1.06,22.49
2012-12-31,18.67,$0.22,83.53
2012-09-30,18.93,$0.31,60.33
2012-06-30,15.68,$0.35,44.7
2012-03-31,18.37,$0.60,30.72
2011-12-31,15.13,$1.28,11.81
2011-09-30,16.37,$1.02,16.06
2011-06-30,15.15,$0.96,15.74
2011-03-31,11.96,$0.71,16.9
2010-12-31,14.45,$-0.58,0.0
2010-09-30,10.99,$0.70,15.76
2010-06-30,12.69,$1.26,10.1
2010-03-31,14.54,$1.36,10.67
2009-12-31,13.78,$2.18,6.33
