Materion Price to Free Cash Flow Ratio Historical Data,Materion Price to Free Cash Flow Ratio Historical Data,Materion Price to Free Cash Flow Ratio Historical Data,Materion Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,107.16,,0.0
2024-06-30,108.01,$-0.40,0.0
2024-03-31,131.44,$-0.40,0.0
2023-12-31,129.7,$1.65,78.57
2023-09-30,101.46,$2.80,36.28
2023-06-30,113.55,$3.22,35.28
2023-03-31,115.2,$3.89,29.61
2022-12-31,86.8,$1.89,45.97
2022-09-30,79.24,$0.27,293.57
2022-06-30,72.93,$-0.72,0.0
2022-03-31,84.67,$-1.44,0.0
2021-12-31,90.53,$-0.57,0.0
2021-09-30,67.5,$-1.73,0.0
2021-06-30,73.97,$0.79,93.15
2021-03-31,64.93,$1.18,55.01
2020-12-31,62.36,$1.64,37.99
2020-09-30,50.8,$3.24,15.66
2020-06-30,59.92,$3.06,19.57
2020-03-31,34.04,$4.35,7.82
2019-12-31,57.68,$3.63,15.88
2019-09-30,59.43,$3.05,19.47
2019-06-30,65.55,$2.58,25.45
2019-03-31,55.07,$2.16,25.46
2018-12-31,43.34,$2.38,18.19
2018-09-30,58.18,$2.54,22.9
2018-06-30,51.99,$3.21,16.19
2018-03-31,48.92,$2.43,20.15
2017-12-31,46.48,$2.08,22.32
2017-09-30,41.18,$2.55,16.16
2017-06-30,35.6,$1.74,20.43
2017-03-31,31.85,$2.04,15.59
2016-12-31,37.5,$2.10,17.86
2016-09-30,29.0,$2.42,11.98
2016-06-30,23.3,$2.62,8.9
2016-03-31,24.82,$2.50,9.94
2015-12-31,26.15,$3.02,8.67
2015-09-30,27.96,$2.45,11.41
2015-06-30,32.73,$2.39,13.68
2015-03-31,35.6,$2.34,15.22
2014-12-31,32.56,$1.63,19.93
2014-09-30,28.28,$1.61,17.6
2014-06-30,34.02,$1.51,22.54
2014-03-31,31.13,$1.55,20.12
2013-12-31,28.23,$2.30,12.29
2013-09-30,29.25,$2.69,10.86
2013-06-30,24.66,$1.77,13.9
2013-03-31,25.87,$-1.67,0.0
2012-12-31,23.34,$1.68,13.85
2012-09-30,21.46,$-0.71,0.0
2012-06-30,20.69,$-0.12,0.0
2011-12-31,21.74,$1.38,15.74
2011-09-30,20.31,$-0.45,0.0
2011-06-30,33.11,$-1.42,0.0
2011-03-31,36.54,$-0.45,0.0
2010-12-31,34.61,$-0.04,0.0
2012-03-31,25.73,$-2.48,0.0
2010-09-30,25.47,$-0.77,0.0
2010-06-30,17.89,$-1.33,0.0
2010-03-31,20.21,$-1.54,0.0
2009-12-31,16.6,$-0.34,0.0
