Evolent Health Price to Free Cash Flow Ratio Historical Data,Evolent Health Price to Free Cash Flow Ratio Historical Data,Evolent Health Price to Free Cash Flow Ratio Historical Data,Evolent Health Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,24.96,,18.45
2024-06-30,19.12,$1.35,14.13
2024-03-31,32.79,$1.18,27.85
2023-12-31,33.03,$1.02,32.28
2023-09-30,27.23,$0.49,55.24
2023-06-30,30.3,$-0.06,0.0
2023-03-31,32.45,$0.05,703.9
2022-12-31,28.08,$-0.53,0.0
2022-09-30,35.93,$-0.06,0.0
2022-06-30,30.71,$0.46,66.91
2022-03-31,32.3,$0.06,520.13
2021-12-31,27.67,$0.16,173.05
2021-09-30,31.0,$-0.75,0.0
2021-06-30,21.12,$-1.52,0.0
2021-03-31,20.2,$-0.85,0.0
2020-12-31,16.03,$-0.54,0.0
2020-09-30,12.41,$-0.29,0.0
2020-06-30,7.12,$-0.26,0.0
2020-03-31,5.43,$-0.84,0.0
2019-12-31,9.05,$-0.95,0.0
2019-09-30,7.19,$-1.44,0.0
2019-06-30,7.95,$-0.98,0.0
2019-03-31,12.58,$-0.77,0.0
2018-12-31,19.95,$-0.78,0.0
2018-09-30,28.4,$-0.40,0.0
2018-06-30,21.05,$-0.52,0.0
2018-03-31,14.25,$-0.55,0.0
2017-12-31,12.3,$-0.87,0.0
2017-09-30,17.8,$-1.34,0.0
2017-06-30,25.35,$-1.29,0.0
2017-03-31,22.3,$-1.34,0.0
2016-12-31,14.8,$-1.13,0.0
2016-09-30,24.62,$-0.74,0.0
2016-06-30,19.2,$-1.04,0.0
2016-03-31,10.56,$-1.11,0.0
