Sabra Healthcare REIT Price to Free Cash Flow Ratio Historical Data,Sabra Healthcare REIT Price to Free Cash Flow Ratio Historical Data,Sabra Healthcare REIT Price to Free Cash Flow Ratio Historical Data,Sabra Healthcare REIT Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,18.22,,18.31
2024-06-30,15.12,$1.00,15.19
2024-03-31,14.2,$1.13,12.61
2023-12-31,13.42,$1.65,8.12
2023-09-30,12.84,$1.06,12.14
2023-06-30,10.58,$1.67,6.33
2023-03-31,10.07,$1.67,6.02
2022-12-31,10.64,$1.11,9.58
2022-09-30,10.95,$1.18,9.26
2022-06-30,11.45,$1.51,7.57
2022-03-31,11.92,$1.42,8.37
2021-12-31,10.59,$1.44,7.37
2021-09-30,11.28,$1.22,9.27
2021-06-30,13.69,$1.15,11.86
2021-03-31,12.84,$1.26,10.2
2020-12-31,12.64,$1.12,11.32
2020-09-30,9.85,$1.08,9.08
2020-06-30,10.11,$0.86,11.72
2020-03-31,7.46,$3.02,2.47
2019-12-31,14.27,$3.32,4.3
2019-09-30,15.05,$3.75,4.02
2019-06-30,12.64,$3.87,3.27
2019-03-31,12.22,$3.27,3.73
2018-12-31,10.12,$2.54,3.98
2018-09-30,13.87,$3.37,4.12
2018-06-30,12.79,$-0.56,0.0
2018-03-31,10.15,$-2.22,0.0
2017-12-31,10.5,$-1.33,0.0
2017-09-30,11.9,$-2.78,0.0
2017-06-30,12.85,$-0.08,0.0
2017-03-31,14.63,$7.36,1.99
2016-12-31,12.58,$6.31,1.99
2016-09-30,12.7,$5.85,2.17
2016-06-30,10.24,$2.18,4.7
2015-12-31,9.58,$-5.07,0.0
2015-09-30,10.74,$-18.95,0.0
2015-06-30,11.74,$-18.28,0.0
2015-03-31,14.9,$-25.25,0.0
2014-12-31,13.48,$-24.94,0.0
2016-03-31,9.77,$-13.24,0.0
2014-09-30,10.65,$-16.44,0.0
2014-06-30,12.4,$-4.19,0.0
2014-03-31,11.89,$-5.03,0.0
2013-12-31,11.0,$-1.64,0.0
2013-09-30,9.55,$-1.47,0.0
2013-06-30,10.7,$-2.66,0.0
2013-03-31,11.76,$-3.03,0.0
2012-12-31,8.69,$-4.02,0.0
2012-09-30,7.88,$-2.03,0.0
2012-06-30,6.62,$-3.94,0.0
2012-03-31,6.23,$-6.16,0.0
2011-12-31,4.49,$-5.30,0.0
2011-09-30,3.43,$-7.54,0.0
2011-06-30,5.85,$-4.78,0.0
2011-03-31,6.05,$-0.67,0.0
2010-12-31,6.32,$0.26,24.17
2010-09-30,7.25,$3.27,2.21
2010-06-30,6.91,$4.51,1.53
2010-03-31,8.16,$3.23,2.53
2009-12-31,7.84,$3.70,2.12
