Elbit Systems Price to Free Cash Flow Ratio Historical Data,Elbit Systems Price to Free Cash Flow Ratio Historical Data,Elbit Systems Price to Free Cash Flow Ratio Historical Data,Elbit Systems Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,212.25,,63.06
2024-06-30,176.21,$3.37,52.35
2024-03-31,208.64,$-0.99,0.0
2023-12-31,211.64,$-1.61,0.0
2023-09-30,195.56,$-3.96,0.0
2023-06-30,206.41,$-0.37,0.0
2023-03-31,167.26,$-0.93,0.0
2022-12-31,161.19,$1.34,120.09
2022-09-30,185.84,$1.67,111.5
2022-06-30,224.12,$-1.82,0.0
2022-03-31,214.42,$6.58,32.58
2021-12-31,169.36,$5.74,29.52
2021-09-30,140.5,$4.37,32.12
2021-06-30,125.47,$3.23,38.84
2021-03-31,137.39,$4.83,28.44
2020-12-31,125.67,$4.94,25.42
2020-09-30,115.18,$3.06,37.7
2020-06-30,130.79,$4.15,31.54
2020-03-31,121.13,$2.95,41.09
2019-12-31,147.1,$4.35,33.83
2019-09-30,155.88,$7.42,21.0
2019-06-30,141.05,$7.63,18.5
2019-03-31,121.34,$6.71,18.08
2018-12-31,106.88,$2.19,48.78
2018-09-30,117.23,$2.97,39.49
2018-06-30,110.52,$0.00,0.0
2018-03-31,112.32,$-2.19,0.0
2017-12-31,123.15,$-0.02,0.0
2017-09-30,135.47,$0.12,1110.39
2017-06-30,113.61,$2.90,39.24
2017-03-31,103.96,$0.20,523.46
2016-12-31,92.84,$2.33,39.88
2016-09-30,86.98,$0.78,111.82
2016-06-30,82.24,$4.69,17.54
2016-03-31,84.45,$6.97,12.12
2015-12-31,79.2,$8.13,9.75
2015-09-30,66.62,$8.20,8.12
2015-06-30,69.56,$4.88,14.24
2015-03-31,63.9,$2.86,22.37
2014-12-31,53.48,$3.08,17.34
2014-09-30,54.37,$2.62,20.75
2014-06-30,53.57,$1.73,30.91
2014-03-31,52.78,$4.19,12.59
2013-12-31,52.35,$2.55,20.56
2013-09-30,45.84,$2.13,21.53
2013-06-30,35.84,$3.21,11.15
2013-03-31,35.43,$2.14,16.54
2012-12-31,33.63,$2.94,11.46
2012-09-30,28.09,$3.75,7.49
2012-06-30,28.27,$3.45,8.2
2012-03-31,31.22,$2.63,11.88
2011-12-31,32.9,$1.95,16.89
2011-09-30,31.7,$0.27,115.69
2011-06-30,37.8,$-0.61,0.0
2011-03-31,43.25,$0.52,82.66
2010-12-31,41.36,$1.34,30.77
2010-09-30,40.98,$0.71,57.46
2010-06-30,38.58,$2.29,16.85
2010-03-31,48.8,$3.36,14.5
2009-12-31,49.32,$2.56,19.24
