ITT Price to Free Cash Flow Ratio Historical Data,ITT Price to Free Cash Flow Ratio Historical Data,ITT Price to Free Cash Flow Ratio Historical Data,ITT Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,149.88,,91.2
2024-06-30,128.87,$1.64,78.42
2023-12-31,118.74,$5.22,22.77
2023-09-30,97.17,$5.45,17.82
2023-06-30,92.25,$4.08,22.61
2023-03-31,85.12,$3.06,27.78
2022-12-31,79.74,$2.33,34.28
2022-09-30,64.04,$1.56,40.93
2022-06-30,65.67,$2.14,30.73
2022-03-31,73.16,$-5.69,0.0
2021-12-31,99.06,$-4.16,0.0
2021-09-30,83.03,$-4.04,0.0
2021-06-30,88.38,$-3.44,0.0
2020-12-31,73.94,$4.28,17.26
2020-09-30,56.57,$5.53,10.23
2020-06-30,56.12,$4.96,11.31
2020-03-31,43.2,$4.47,9.67
2019-12-31,70.14,$4.59,15.29
2021-03-31,87.5,$2.34,37.47
2019-09-30,57.95,$3.26,17.78
2019-06-30,61.86,$3.40,18.2
2019-03-31,54.66,$3.59,15.21
2018-12-31,45.37,$3.60,12.6
2018-09-30,57.44,$2.45,23.46
2018-06-30,48.9,$1.89,25.89
2018-03-31,45.71,$1.77,25.85
2017-12-31,49.68,$1.50,33.02
2017-09-30,41.11,$1.68,24.48
2017-06-30,37.19,$1.60,23.28
2017-03-31,37.84,$1.50,25.27
2016-12-31,35.47,$1.44,24.66
2016-09-30,32.86,$1.53,21.41
2016-06-30,29.22,$1.38,21.23
2016-03-31,33.59,$1.65,20.39
2015-12-31,33.07,$1.58,20.98
2015-09-30,30.44,$1.66,18.38
2015-06-30,38.1,$1.42,26.76
2015-03-31,36.34,$1.46,24.83
2014-12-31,36.84,$1.36,27.16
2014-09-30,40.92,$1.30,31.41
2014-06-30,43.8,$1.19,36.83
2014-03-31,38.94,$1.09,35.8
2013-12-31,39.54,$1.12,35.19
2013-09-30,32.66,$2.12,15.41
2013-06-30,26.64,$2.08,12.78
2013-03-31,25.66,$-1.37,0.0
2012-12-31,21.1,$-0.63,0.0
2012-03-31,20.36,$-3.87,0.0
2011-12-31,17.09,$-4.58,0.0
2011-09-30,18.48,$-5.35,0.0
2011-06-30,25.86,$-9.55,0.0
2011-03-31,26.24,$-5.50,0.0
2010-12-31,22.67,$-2.32,0.0
2012-09-30,18.05,$1.41,12.82
2010-09-30,20.27,$-2.84,0.0
2010-06-30,19.33,$-0.47,0.0
2010-03-31,22.95,$0.19,120.23
2009-12-31,21.19,$1.83,11.58
2009-09-30,22.13,$10.22,2.17
2009-06-30,18.8,$6.14,3.06
