Pegasystems Price to Free Cash Flow Ratio Historical Data,Pegasystems Price to Free Cash Flow Ratio Historical Data,Pegasystems Price to Free Cash Flow Ratio Historical Data,Pegasystems Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,73.52,,20.24
2024-06-30,60.47,$3.63,16.65
2024-03-31,64.58,$3.81,16.94
2023-12-31,48.79,$2.37,20.61
2023-09-30,43.32,$1.76,24.61
2023-06-30,49.17,$1.25,39.34
2023-03-31,48.32,$0.42,114.34
2022-12-31,34.11,$-0.16,0.0
2022-09-30,31.99,$0.07,466.27
2022-06-30,47.57,$-0.02,0.0
2022-03-31,80.14,$0.21,380.52
2021-12-31,111.07,$0.35,315.36
2021-09-30,126.21,$0.12,1036.23
2021-06-30,138.19,$0.35,397.31
2021-03-31,113.49,$0.31,367.76
2020-12-31,132.24,$-0.32,0.0
2020-09-30,120.08,$-1.01,0.0
2020-06-30,100.34,$-1.21,0.0
2020-03-31,70.63,$-1.31,0.0
2019-12-31,78.94,$-0.67,0.0
2019-09-30,67.42,$0.11,615.72
2019-06-30,70.52,$0.27,258.6
2019-03-31,64.34,$0.70,92.33
2018-12-31,47.33,$1.11,42.51
2018-09-30,61.9,$1.13,54.8
2018-06-30,54.16,$1.59,34.13
2018-03-31,59.91,$2.02,29.69
2017-12-31,46.55,$1.74,26.69
2017-09-30,56.88,$1.56,36.43
2017-06-30,57.54,$1.29,44.48
2017-03-31,43.22,$0.58,74.02
2016-12-31,35.46,$0.26,136.02
2016-09-30,29.02,$0.22,133.75
2016-06-30,26.5,$0.31,84.76
2016-03-31,24.92,$0.48,51.6
2015-12-31,26.97,$0.72,37.55
2015-09-30,24.11,$0.56,42.93
2015-06-30,22.4,$0.67,33.54
2015-03-31,21.26,$0.57,37.49
2014-12-31,20.27,$1.17,17.34
2014-09-30,18.63,$1.12,16.56
2014-06-30,20.55,$1.07,19.26
2014-03-31,17.15,$1.04,16.52
2013-12-31,23.88,$0.96,24.79
2013-09-30,19.32,$1.18,16.43
2013-06-30,16.06,$1.09,14.69
2013-03-31,13.6,$1.38,9.88
2012-12-31,10.98,$0.26,42.72
2012-09-30,14.03,$0.29,48.57
2012-06-30,15.92,$0.17,92.24
2012-03-31,18.4,$0.22,85.36
2011-12-31,14.17,$0.38,37.24
2011-09-30,14.74,$0.53,27.6
2011-06-30,22.39,$0.48,46.72
2011-03-31,18.25,$0.02,1216.61
2010-12-31,17.59,$0.17,102.87
2010-09-30,14.9,$-0.06,0.0
2010-06-30,15.39,$0.08,205.22
2010-03-31,17.72,$0.44,40.36
2009-12-31,16.27,$0.57,28.48
