SL Green Realty Price to Free Cash Flow Ratio Historical Data,SL Green Realty Price to Free Cash Flow Ratio Historical Data,SL Green Realty Price to Free Cash Flow Ratio Historical Data,SL Green Realty Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,75.15,,5.94
2024-06-30,56.02,$12.65,4.43
2024-03-31,54.02,$7.10,7.61
2023-12-31,43.59,$7.76,5.62
2023-09-30,35.22,$9.87,3.57
2023-06-30,27.77,$2.96,9.37
2023-03-31,21.04,$6.24,3.37
2022-12-31,29.37,$7.91,3.71
2022-09-30,34.17,$6.92,4.94
2022-06-30,38.45,$7.37,5.21
2022-03-31,66.57,$7.32,9.09
2021-12-31,59.87,$6.39,9.37
2021-09-30,56.66,$16.28,3.48
2021-06-30,63.19,$17.20,3.67
2021-03-31,54.64,$16.10,3.39
2020-12-31,47.24,$14.94,3.16
2020-09-30,34.95,$4.52,7.73
2020-06-30,36.47,$3.53,10.34
2020-03-31,31.32,$-0.32,0.0
2019-12-31,66.34,$0.85,78.48
2019-09-30,58.46,$4.23,13.83
2019-06-30,56.88,$5.35,10.63
2019-03-31,62.97,$11.16,5.64
2018-12-31,54.86,$15.71,3.49
2018-09-30,67.66,$17.68,3.83
2018-06-30,69.16,$17.21,4.02
2018-03-31,66.08,$13.78,4.8
2017-12-31,68.3,$8.94,7.64
2017-09-30,68.02,$2.73,24.91
2017-06-30,70.49,$7.10,9.92
2017-03-31,70.52,$24.96,2.82
2016-12-31,70.61,$26.98,2.62
2016-09-30,70.45,$28.30,2.49
2016-06-30,68.94,$3.97,17.39
2016-03-31,62.28,$-17.68,0.0
2015-12-31,72.09,$-14.49,0.0
2015-09-30,68.58,$-13.13,0.0
2015-06-30,69.29,$0.74,93.39
2015-03-31,80.52,$2.99,26.94
2014-12-31,74.3,$-1.14,0.0
2014-09-30,62.94,$-6.84,0.0
2014-06-30,67.64,$-1.56,0.0
2014-03-31,61.92,$-1.23,0.0
2013-12-31,56.56,$-2.06,0.0
2013-09-30,54.1,$1.30,41.69
2013-06-30,53.51,$0.31,173.83
2013-03-31,52.05,$-1.14,0.0
2012-12-31,46.16,$-2.71,0.0
2012-09-30,48.01,$-3.50,0.0
2012-06-30,47.96,$-2.55,0.0
2012-03-31,46.2,$-3.20,0.0
2011-12-31,39.57,$-0.84,0.0
2011-09-30,34.4,$-1.48,0.0
2011-06-30,48.94,$-0.75,0.0
2011-03-31,44.36,$7.63,5.82
2010-12-31,39.77,$6.98,5.69
2010-09-30,37.25,$8.99,4.14
2010-06-30,32.32,$8.45,3.82
2010-03-31,33.57,$2.36,14.21
2009-12-31,29.4,$2.81,10.47
