World Kinect Price to Free Cash Flow Ratio Historical Data,World Kinect Price to Free Cash Flow Ratio Historical Data,World Kinect Price to Free Cash Flow Ratio Historical Data,World Kinect Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,30.66,,9.67
2024-06-30,25.66,$3.17,8.09
2024-03-31,26.13,$2.54,10.3
2023-12-31,22.36,$2.98,7.51
2023-09-30,21.88,$1.47,14.88
2023-06-30,20.05,$4.27,4.7
2023-03-31,24.48,$4.33,5.66
2022-12-31,26.18,$0.96,27.41
2022-09-30,22.34,$1.81,12.31
2022-06-30,19.39,$-0.94,0.0
2022-03-31,25.51,$-0.87,0.0
2021-12-31,24.86,$2.12,11.74
2021-09-30,31.43,$4.72,6.66
2021-06-30,29.55,$7.27,4.07
2021-03-31,32.66,$10.35,3.16
2020-12-31,28.82,$8.64,3.34
2020-09-30,19.53,$7.56,2.58
2020-06-30,23.64,$4.11,5.76
2020-03-31,23.02,$2.27,10.16
2019-12-31,39.54,$2.22,17.78
2019-09-30,36.29,$3.23,11.25
2019-06-30,32.59,$1.49,21.83
2019-03-31,26.1,$-1.17,0.0
2018-12-31,19.31,$-0.41,0.0
2018-09-30,24.9,$-4.86,0.0
2018-06-30,18.32,$-4.57,0.0
2017-12-31,25.12,$-2.75,0.0
2017-09-30,30.16,$-5.90,0.0
2017-06-30,34.19,$-2.80,0.0
2017-03-31,32.18,$-0.79,0.0
2016-12-31,40.69,$0.21,194.52
2016-09-30,40.95,$4.25,9.63
2016-06-30,41.98,$5.96,7.05
2016-03-31,42.89,$6.11,7.02
2015-12-31,33.91,$4.32,7.85
2015-09-30,31.52,$2.96,10.65
2015-06-30,42.15,$1.03,40.87
2014-12-31,41.16,$1.27,32.29
2014-09-30,34.98,$2.51,13.96
2014-06-30,43.11,$3.68,11.72
2014-03-31,38.58,$4.19,9.21
2013-12-31,37.73,$3.46,10.9
2015-03-31,50.47,$3.59,14.07
2013-09-30,32.58,$3.50,9.32
2013-06-30,34.88,$4.33,8.05
2013-03-31,34.62,$2.35,14.73
2012-12-31,35.84,$1.63,21.94
2012-09-30,30.97,$1.40,22.19
2012-06-30,33.04,$-1.16,0.0
2012-03-31,35.59,$0.43,82.45
2011-12-31,36.4,$-2.27,0.0
2011-09-30,28.28,$-3.35,0.0
2011-06-30,31.09,$-3.11,0.0
2011-03-31,35.1,$-3.09,0.0
2010-12-31,31.22,$-0.76,0.0
2010-09-30,22.43,$-1.33,0.0
2010-06-30,22.33,$-0.45,0.0
2010-03-31,22.9,$-0.04,0.0
2009-12-31,23.0,$1.19,19.29
2009-09-30,20.6,$-1.74,0.0
