Stantec Price to Free Cash Flow Ratio Historical Data,Stantec Price to Free Cash Flow Ratio Historical Data,Stantec Price to Free Cash Flow Ratio Historical Data,Stantec Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,82.39,,25.24
2024-06-30,83.33,$3.26,25.53
2024-03-31,82.67,$3.08,26.8
2023-12-31,79.69,$2.96,26.94
2023-09-30,64.34,$2.61,24.61
2023-06-30,64.55,$1.97,32.84
2023-03-31,57.68,$1.78,32.46
2022-12-31,47.22,$1.63,28.92
2022-09-30,43.05,$1.43,30.08
2022-06-30,42.89,$1.50,28.51
2022-03-31,48.95,$2.13,22.99
2021-12-31,54.76,$2.51,21.81
2021-09-30,45.59,$2.94,15.51
2021-06-30,43.22,$3.44,12.57
2021-03-31,41.31,$4.51,9.16
2020-12-31,31.26,$3.82,8.19
2020-09-30,29.1,$3.93,7.41
2020-06-30,29.48,$3.70,7.96
2020-03-31,24.33,$3.08,7.91
2019-12-31,26.82,$2.67,10.03
2019-09-30,20.93,$1.82,11.49
2019-06-30,22.52,$1.17,19.31
2019-03-31,22.1,$0.58,38.38
2018-12-31,20.34,$0.33,62.25
2018-09-30,23.02,$0.42,54.51
2018-06-30,23.66,$0.43,54.91
2018-03-31,22.64,$0.65,34.61
2017-12-31,25.56,$1.37,18.59
2017-09-30,25.29,$1.89,13.4
2017-06-30,22.79,$1.96,11.63
2017-03-31,23.43,$1.54,15.22
2016-12-31,22.76,$1.62,14.02
2016-09-30,21.13,$1.44,14.64
2016-06-30,21.69,$1.78,12.17
2016-03-31,22.62,$2.08,10.88
2015-12-31,22.04,$1.40,15.69
2015-09-30,19.41,$0.33,58.41
2015-06-30,25.79,$1.28,20.09
2015-03-31,21.04,$0.85,24.63
2014-12-31,24.06,$1.57,15.37
2014-09-30,28.54,$2.64,10.81
2014-06-30,27.06,$2.19,12.34
2014-03-31,26.58,$2.27,11.74
2013-12-31,26.91,$2.31,11.64
2013-09-30,22.17,$2.86,7.75
2013-06-30,18.28,$1.61,11.35
2013-03-31,18.91,$1.69,11.16
2012-12-31,17.18,$1.73,9.96
2012-09-30,14.5,$0.61,23.64
2012-06-30,12.15,$1.39,8.76
2012-03-31,13.46,$1.16,11.59
2011-12-31,11.46,$1.04,11.05
2011-09-30,9.36,$0.98,9.56
2011-06-30,12.21,$0.68,18.01
2011-03-31,12.62,$0.91,13.91
2010-12-31,11.77,$0.95,12.34
2010-09-30,11.11,$0.99,11.26
2010-06-30,9.31,$1.21,7.69
2010-03-31,10.97,$0.99,11.05
2009-12-31,12.13,$0.81,15.04
