Rhythm Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Rhythm Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Rhythm Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Rhythm Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,51.03,,0.0
2024-06-30,41.06,$-2.80,0.0
2024-03-31,43.33,$-3.08,0.0
2023-12-31,45.97,$-2.46,0.0
2023-09-30,22.93,$-2.56,0.0
2023-06-30,16.49,$-2.95,0.0
2023-03-31,17.84,$-2.99,0.0
2022-12-31,29.12,$-3.33,0.0
2022-09-30,24.5,$-3.56,0.0
2022-06-30,4.15,$-3.48,0.0
2022-03-31,11.52,$-3.33,0.0
2021-12-31,9.98,$-2.95,0.0
2021-09-30,13.06,$-2.77,0.0
2021-06-30,19.58,$-2.58,0.0
2021-03-31,21.27,$-2.64,0.0
2020-12-31,29.73,$-2.77,0.0
2020-09-30,21.67,$-2.85,0.0
2020-06-30,22.3,$-3.21,0.0
2020-03-31,15.22,$-3.35,0.0
2019-12-31,22.96,$-3.46,0.0
2019-09-30,21.59,$-3.54,0.0
2019-06-30,22.0,$-2.90,0.0
2019-03-31,27.41,$-2.53,0.0
2018-12-31,26.88,$-2.02,0.0
2018-09-30,29.17,$-3.44,0.0
