KT Price to Free Cash Flow Ratio Historical Data,KT Price to Free Cash Flow Ratio Historical Data,KT Price to Free Cash Flow Ratio Historical Data,KT Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,15.71,,3.6
2024-06-30,13.67,$4.36,3.14
2024-03-31,13.84,$4.18,3.31
2023-12-31,13.1,$3.06,4.27
2023-09-30,11.87,$2.58,4.6
2023-06-30,10.46,$1.25,8.35
2023-03-31,10.5,$0.41,25.63
2022-12-31,12.5,$0.48,25.82
2022-09-30,10.74,$2.34,4.59
2022-06-30,12.27,$3.28,3.74
2022-03-31,12.6,$3.65,3.45
2021-12-31,11.05,$4.28,2.58
2021-09-30,11.29,$3.59,3.15
2021-06-30,11.57,$2.47,4.69
2021-03-31,10.32,$1.17,8.82
2020-09-30,7.55,$1.88,4.02
2020-06-30,7.66,$-0.48,0.0
2019-09-30,8.56,$1.28,6.71
2019-06-30,9.36,$-0.28,0.0
2018-09-30,10.88,0,0.0
2018-06-30,9.73,$1.77,5.49
2017-09-30,9.87,0,0.0
2017-06-30,11.84,$1.51,7.83
2016-12-31,10.02,0,0.0
2016-09-30,11.14,0,0.0
2016-06-30,9.89,0,0.0
2016-03-31,9.31,0,0.0
2015-12-31,8.26,0,0.0
2015-06-30,8.79,0,0.0
2015-03-31,9.08,0,0.0
2014-12-31,9.8,0,0.0
2014-09-30,11.25,0,0.0
2014-06-30,10.5,0,0.0
2014-03-31,9.64,0,0.0
2013-12-31,10.32,0,0.0
2011-09-30,9.24,0,0.0
2011-06-30,12.15,$-1.34,0.0
2011-03-31,12.21,0,0.0
2010-12-31,13.0,0,0.0
2010-06-30,11.5,$-0.88,0.0
2009-12-31,10.09,$1.34,7.54
2009-09-30,10.02,0,0.0
2009-06-30,8.28,0,0.0
2009-03-31,7.95,$0.88,9.06
2013-03-31,10.68,0,0.0
2012-12-31,11.39,0,0.0
2012-09-30,10.21,0,0.0
2012-06-30,8.61,0,0.0
2012-03-31,8.94,0,0.0
