SolarEdge Technologies Price to Free Cash Flow Ratio Historical Data,SolarEdge Technologies Price to Free Cash Flow Ratio Historical Data,SolarEdge Technologies Price to Free Cash Flow Ratio Historical Data,SolarEdge Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,17.93,,0.0
2024-06-30,25.26,$-8.81,0.0
2024-03-31,70.98,$-9.87,0.0
2023-12-31,93.6,$-6.13,0.0
2023-09-30,129.51,$-1.89,0.0
2023-06-30,269.05,$-2.13,0.0
2023-03-31,303.95,$0.77,393.97
2022-12-31,283.27,$-2.38,0.0
2022-09-30,231.46,$-2.82,0.0
2022-06-30,273.68,$-1.83,0.0
2022-03-31,322.37,$-2.49,0.0
2021-12-31,280.57,$1.16,242.06
2021-09-30,265.22,$0.33,797.17
2021-06-30,276.37,$-0.39,0.0
2021-03-31,287.44,$0.26,1101.72
2020-12-31,319.12,$1.82,175.75
2020-09-30,238.35,$3.02,78.92
2020-06-30,138.78,$4.17,33.28
2020-03-31,81.88,$4.33,18.93
2019-12-31,95.09,$3.71,25.6
2019-09-30,83.72,$3.48,24.05
2019-06-30,62.46,$3.05,20.5
2019-03-31,37.68,$2.97,12.7
2018-12-31,35.1,$3.14,11.19
2018-09-30,37.65,$3.18,11.85
2018-06-30,47.85,$3.22,14.84
2018-03-31,52.6,$3.10,16.97
2017-12-31,37.55,$2.54,14.8
2017-09-30,28.55,$0.69,41.65
2017-06-30,20.0,$0.58,34.44
2017-03-31,15.6,$0.33,47.1
2016-12-31,12.4,0,0.0
2016-09-30,17.23,$1.24,13.87
2016-06-30,19.6,$0.83,23.63
2016-03-31,25.14,$2.19,11.47
2015-12-31,28.17,$0.30,92.42
