Forestar Group Inc Price to Free Cash Flow Ratio Historical Data,Forestar Group Inc Price to Free Cash Flow Ratio Historical Data,Forestar Group Inc Price to Free Cash Flow Ratio Historical Data,Forestar Group Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,33.01,,0.0
2024-06-30,31.99,$-0.82,0.0
2024-03-31,40.19,$2.54,15.83
2023-12-31,33.07,$5.13,6.44
2023-09-30,26.94,$7.27,3.7
2023-06-30,22.55,$5.11,4.41
2023-03-31,15.56,$1.08,14.45
2022-12-31,15.41,$1.06,14.57
2022-09-30,11.19,$2.18,5.14
2022-06-30,13.69,$0.47,29.25
2022-03-31,17.76,$0.49,36.03
2021-12-31,21.75,$-2.77,0.0
2021-09-30,18.63,$-6.22,0.0
2021-06-30,20.91,$-6.09,0.0
2021-03-31,23.28,$-6.09,0.0
2020-12-31,20.18,$-6.54,0.0
2020-09-30,17.7,$-3.49,0.0
2020-06-30,15.08,$-2.89,0.0
2020-03-31,10.35,$-5.12,0.0
2019-12-31,20.85,$-5.67,0.0
2019-09-30,18.28,$-9.34,0.0
2019-06-30,19.55,$-11.86,0.0
2019-03-31,17.29,$-9.52,0.0
2018-12-31,13.85,$-4.50,0.0
2018-09-30,21.2,$-0.59,0.0
2018-06-30,20.75,$-2.25,0.0
2018-03-31,21.15,$0.41,51.2
2017-12-31,22.0,$-0.03,0.0
2017-09-30,17.2,$-0.03,0.0
2017-06-30,17.15,$-4.35,0.0
2017-03-31,13.65,$0.90,15.2
2016-12-31,13.3,$0.55,24.09
2016-09-30,11.71,$0.55,21.21
2016-06-30,11.89,$7.46,1.59
2016-03-31,13.04,$0.96,13.55
2015-12-31,10.94,$-1.73,0.0
2015-09-30,13.15,$-1.73,0.0
2015-06-30,13.16,$-1.70,0.0
2015-03-31,15.77,$-1.88,0.0
2014-12-31,15.4,$-0.98,0.0
2014-09-30,17.72,$-0.98,0.0
2014-06-30,19.09,$-1.28,0.0
2014-03-31,17.8,$-1.45,0.0
2013-12-31,21.27,$-0.49,0.0
2013-09-30,21.53,$-0.49,0.0
2013-06-30,20.06,$0.55,36.53
2013-03-31,21.86,$2.14,10.22
2012-12-31,17.33,$0.16,106.12
2012-09-30,16.66,$0.16,102.02
2012-06-30,12.81,$1.42,9.05
2012-03-31,15.39,$-0.45,0.0
2011-12-31,15.13,$0.78,19.32
2011-09-30,10.91,$0.78,13.93
2011-06-30,16.43,$-0.92,0.0
2011-03-31,19.02,$-0.63,0.0
2010-12-31,19.3,$-0.44,0.0
2010-09-30,17.05,$-0.44,0.0
2010-06-30,17.96,$0.59,30.67
2010-03-31,18.88,$4.48,4.22
2009-12-31,21.98,$4.14,5.31
