TG Therapeutics Price to Free Cash Flow Ratio Historical Data,TG Therapeutics Price to Free Cash Flow Ratio Historical Data,TG Therapeutics Price to Free Cash Flow Ratio Historical Data,TG Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,23.94,,48.67
2024-06-30,17.79,$0.49,36.17
2024-03-31,15.21,$0.16,95.48
2023-12-31,17.08,$-0.21,0.0
2023-09-30,8.36,$-0.29,0.0
2023-06-30,24.84,$-1.15,0.0
2023-03-31,15.04,$-1.22,0.0
2022-12-31,11.83,$-1.30,0.0
2022-09-30,5.92,$-1.78,0.0
2022-06-30,4.25,$-2.04,0.0
2022-03-31,9.51,$-2.13,0.0
2021-12-31,19.0,$-2.24,0.0
2021-09-30,33.28,$-2.08,0.0
2021-06-30,38.79,$-1.99,0.0
2021-03-31,48.2,$-1.89,0.0
2020-12-31,52.02,$-1.86,0.0
2020-09-30,26.76,$-1.73,0.0
2020-06-30,19.48,$-1.65,0.0
2020-03-31,9.84,$-1.68,0.0
2019-12-31,11.1,$-1.50,0.0
2019-09-30,5.62,$-1.63,0.0
2019-06-30,8.65,$-1.67,0.0
2019-03-31,8.04,$-1.72,0.0
2018-12-31,4.1,$-1.71,0.0
2018-09-30,5.6,$-1.62,0.0
2018-06-30,13.15,$-1.57,0.0
2018-03-31,14.2,$-1.49,0.0
2017-12-31,8.2,$-1.51,0.0
2017-09-30,11.85,$-1.46,0.0
2017-06-30,10.05,$-1.43,0.0
2017-03-31,11.65,$-1.34,0.0
2016-12-31,4.65,$-1.26,0.0
2016-09-30,7.74,$-1.23,0.0
2016-06-30,6.06,$-1.13,0.0
2016-03-31,8.52,$-1.11,0.0
2015-12-31,11.93,$-0.98,0.0
2015-09-30,10.08,$-1.11,0.0
2015-06-30,16.59,$-1.14,0.0
2015-03-31,15.48,$-0.97,0.0
2014-12-31,15.84,$-1.03,0.0
2014-09-30,10.67,$-0.79,0.0
2014-06-30,9.39,$-0.57,0.0
2014-03-31,6.9,$-0.60,0.0
2013-12-31,3.9,$-0.42,0.0
2013-09-30,5.04,$-0.33,0.0
2013-06-30,6.39,$-0.49,0.0
2013-03-31,5.4,$-0.33,0.0
2012-12-31,3.64,$-0.40,0.0
2012-09-30,2.25,$-0.31,0.0
2012-06-30,6.25,$-0.16,0.0
2012-03-31,6.75,$-4.90,0.0
2011-12-31,1.13,$-0.05,0.0
2011-09-30,6.19,$-16.31,0.0
2011-06-30,28.13,$-25.79,0.0
2011-03-31,28.13,$-44.85,0.0
