AdaptHealth Price to Free Cash Flow Ratio Historical Data,AdaptHealth Price to Free Cash Flow Ratio Historical Data,AdaptHealth Price to Free Cash Flow Ratio Historical Data,AdaptHealth Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,10.83,,55.17
2024-06-30,10.0,$0.20,50.94
2023-12-31,7.29,$1.07,6.84
2023-09-30,9.1,$0.73,12.41
2023-06-30,12.17,$0.28,44.06
2023-03-31,12.43,$0.34,36.27
2022-12-31,19.22,$0.16,121.8
2024-03-31,11.51,$-0.09,0.0
2022-09-30,18.78,$0.50,37.5
2022-06-30,18.04,$0.16,114.03
2022-03-31,16.03,$0.62,26.07
2021-12-31,24.46,$0.54,44.96
2021-09-30,23.29,$1.09,21.46
2021-06-30,27.41,$1.38,19.91
2021-03-31,36.76,$2.42,15.19
2020-12-31,37.56,$2.97,12.65
2020-09-30,21.81,$2.54,8.57
2020-06-30,16.1,$3.12,5.16
2020-03-31,16.0,$1.35,11.89
2019-12-31,10.98,$1.73,6.34
2019-09-30,10.18,$6.28,1.62
2019-06-30,10.13,$5.65,1.79
2019-03-31,9.99,$5.70,1.75
