LG Display Price to Free Cash Flow Ratio Historical Data,LG Display Price to Free Cash Flow Ratio Historical Data,LG Display Price to Free Cash Flow Ratio Historical Data,LG Display Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,3.86,,0.0
2024-06-30,4.12,$-0.18,0.0
2024-03-31,4.1,$-1.12,0.0
2023-12-31,4.82,$-1.47,0.0
2023-09-30,4.88,$-1.52,0.0
2023-06-30,6.06,$-2.61,0.0
2023-03-31,6.38,$-3.13,0.0
2022-12-31,4.96,$-1.86,0.0
2022-09-30,4.08,$-0.34,0.0
2022-06-30,5.58,$0.73,7.65
2022-03-31,8.26,$2.12,3.89
2021-12-31,10.1,$3.02,3.34
2021-09-30,7.75,$2.55,3.04
2021-06-30,10.42,$1.69,6.16
2021-03-31,9.74,$1.28,7.59
2020-12-31,8.23,$0.14,56.77
2020-09-30,6.36,$-0.17,0.0
2020-06-30,4.71,$-0.88,0.0
2020-03-31,4.33,$-2.13,0.0
2019-12-31,6.76,$-4.34,0.0
2019-09-30,5.8,$-6.37,0.0
2019-06-30,7.55,$-5.95,0.0
2019-03-31,8.43,$-5.93,0.0
2018-12-31,7.98,$-4.22,0.0
2018-09-30,8.45,$-2.91,0.0
2018-06-30,8.03,$-1.57,0.0
2018-03-31,11.79,$-0.36,0.0
2017-12-31,13.41,$0.41,32.67
2017-09-30,12.86,$1.08,11.96
2017-06-30,15.4,$0.61,25.33
2017-03-31,13.05,$-0.05,0.0
2016-12-31,12.31,$0.23,53.5
2016-09-30,11.99,$0.14,82.79
2016-06-30,10.92,$-1.46,0.0
2016-03-31,10.77,$0.25,43.47
2015-12-31,9.84,$0.99,9.96
2015-09-30,8.95,$5.40,1.66
2015-06-30,10.92,$7.00,1.56
2015-03-31,13.49,$4.86,2.78
2014-12-31,14.28,$4.06,3.52
2014-09-30,14.63,$-1.21,0.0
2014-06-30,14.64,$-1.64,0.0
2014-03-31,11.61,$-0.22,0.0
2013-12-31,11.27,$0.19,57.84
2013-09-30,11.08,$0.97,11.42
2013-06-30,11.02,$1.27,8.71
2013-03-31,13.55,$1.76,7.68
2012-12-31,13.45,$0.82,16.48
2012-09-30,11.67,$0.83,14.11
2012-06-30,8.78,$0.76,11.49
2012-03-31,10.93,$-0.92,0.0
2011-12-31,9.78,$-0.52,0.0
2011-09-30,7.57,$-1.19,0.0
2011-06-30,13.05,$-1.61,0.0
2011-03-31,14.61,$-0.66,0.0
2010-12-31,16.48,$-0.07,0.0
2010-09-30,16.05,$0.75,21.38
2010-06-30,14.81,$1.79,8.28
2010-03-31,16.27,$0.39,41.99
2009-12-31,15.58,$0.31,50.79
