Tarsus Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Tarsus Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Tarsus Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Tarsus Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,37.07,,0.0
2024-06-30,27.18,$-3.71,0.0
2024-03-31,36.35,$-4.29,0.0
2023-12-31,20.25,$-4.05,0.0
2023-09-30,17.77,$-3.17,0.0
2023-06-30,18.07,$-2.95,0.0
2023-03-31,12.57,$-2.10,0.0
2022-12-31,14.66,$-2.01,0.0
2022-09-30,17.12,$-2.05,0.0
2022-06-30,14.6,$-1.05,0.0
2022-03-31,16.82,$-0.04,0.0
2021-12-31,22.5,$0.15,146.29
2021-09-30,21.55,$-2.73,0.0
