Turkcell Iletisim Hizmetleri AS Price to Free Cash Flow Ratio Historical Data,Turkcell Iletisim Hizmetleri AS Price to Free Cash Flow Ratio Historical Data,Turkcell Iletisim Hizmetleri AS Price to Free Cash Flow Ratio Historical Data,Turkcell Iletisim Hizmetleri AS Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,6.35,,7.52
2024-06-30,7.58,$0.84,8.98
2024-03-31,5.19,$1.26,4.12
2023-12-31,4.81,$1.38,3.48
2023-09-30,4.64,$1.20,3.86
2023-06-30,3.5,$1.39,2.52
2023-03-31,4.22,$1.05,4.01
2022-12-31,4.7,$1.12,4.2
2022-09-30,2.61,$1.21,2.15
2022-06-30,2.37,$0.99,2.4
2022-03-31,3.69,$0.94,3.92
2021-06-30,4.21,$1.32,3.19
2021-03-31,4.11,$1.26,3.26
2020-12-31,4.74,$1.45,3.28
2020-09-30,4.11,$1.61,2.55
2020-06-30,4.95,$1.63,3.03
2020-03-31,3.99,$1.62,2.47
2019-12-31,4.98,$1.22,4.07
2019-09-30,4.79,$0.93,5.15
2019-06-30,4.54,$0.70,6.49
2019-03-31,4.41,$0.80,5.52
2018-12-31,4.62,$0.70,6.59
2018-09-30,3.88,$0.85,4.57
2018-06-30,5.14,$0.74,6.91
2018-03-31,7.32,$0.15,48.55
2017-12-31,7.81,$0.13,58.34
2017-09-30,6.55,$-0.51,0.0
2017-06-30,5.88,$-0.37,0.0
2017-03-31,5.71,$-0.71,0.0
2016-12-31,4.76,$-0.80,0.0
2016-09-30,5.56,$-0.51,0.0
2016-06-30,6.31,$-0.38,0.0
2016-03-31,7.25,$0.24,30.7
2015-12-31,5.86,$0.01,0.0
2015-09-30,5.99,$0.23,26.47
2015-06-30,7.93,$-0.03,0.0
2015-03-31,7.81,$-0.07,0.0
2014-12-31,9.07,$0.16,55.31
2014-09-30,7.88,$0.28,27.8
2014-06-30,9.35,$0.38,24.46
2014-03-31,8.26,$0.42,19.64
2013-12-31,8.0,$0.44,18.14
2013-09-30,8.84,$0.61,14.58
2013-06-30,8.62,$0.54,15.94
2013-03-31,9.98,$0.55,18.2
2012-12-31,9.68,$0.50,19.32
2012-09-30,9.08,$0.12,77.06
2012-06-30,7.53,$0.17,43.83
2012-03-31,7.56,$0.24,30.9
2011-12-31,7.05,$0.31,22.77
2011-09-30,6.76,$0.53,12.76
2011-06-30,8.12,$0.43,18.77
2011-03-31,9.01,$0.47,19.35
2010-12-31,10.27,$0.41,25.2
2010-09-30,10.05,$0.27,37.53
2010-06-30,7.78,$0.36,21.76
2010-03-31,8.66,$0.14,61.83
2009-12-31,10.05,$0.29,34.66
