Banco Bilbao Viscaya Argentaria S.A Price to Free Cash Flow Ratio Historical Data,Banco Bilbao Viscaya Argentaria S.A Price to Free Cash Flow Ratio Historical Data,Banco Bilbao Viscaya Argentaria S.A Price to Free Cash Flow Ratio Historical Data,Banco Bilbao Viscaya Argentaria S.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,9.87,,0.0
2024-06-30,9.72,$-3.92,0.0
2024-03-31,11.07,$-0.40,0.0
2023-12-31,8.52,$-0.32,0.0
2023-09-30,7.37,$1.53,4.83
2023-06-30,7.03,$-0.70,0.0
2023-03-31,6.15,$3.73,1.65
2022-12-31,5.24,$3.73,1.4
2022-09-30,3.79,$-0.27,0.0
2022-06-30,3.84,$4.36,0.88
2022-03-31,4.62,$1.25,3.68
2021-12-31,4.77,$-0.27,0.0
2021-09-30,5.28,$4.81,1.1
2021-06-30,4.98,$-0.57,0.0
2021-03-31,4.18,$3.29,1.27
2020-12-31,3.96,$4.81,0.82
2020-09-30,2.2,$0.84,2.61
2020-06-30,2.72,$2.45,1.11
2020-03-31,2.32,$-1.34,0.0
2019-12-31,4.23,$-1.80,0.0
2019-06-30,4.13,$-2.38,0.0
2019-03-31,4.13,$-1.96,0.0
2018-06-30,4.95,$-0.67,0.0
2017-09-30,6.09,$0.43,14.06
2017-06-30,5.71,$-0.78,0.0
2016-12-31,4.48,$1.39,3.23
2016-09-30,3.94,$-0.31,0.0
2016-06-30,3.68,$0.36,10.3
2019-09-30,3.86,$3.19,1.21
2016-03-31,4.18,$3.05,1.37
2015-12-31,4.54,$3.47,1.31
2015-09-30,5.19,$0.58,8.97
2015-06-30,6.0,$1.46,4.1
2015-03-31,6.1,$-1.58,0.0
2014-12-31,5.63,$-1.58,0.0
2014-09-30,7.2,$-0.36,0.0
2014-06-30,7.53,$-3.13,0.0
2014-03-31,7.09,$-0.36,0.0
2013-12-31,7.17,$-0.36,0.0
2013-09-30,6.47,$2.10,3.08
2013-06-30,4.73,$2.10,2.26
2013-03-31,4.85,$2.10,2.31
2012-12-31,5.14,$2.10,2.45
2012-09-30,4.23,$5.61,0.75
2012-06-30,3.72,$5.61,0.66
2012-03-31,4.11,$5.61,0.73
2011-12-31,4.34,$5.61,0.77
2011-09-30,4.12,$2.51,1.64
2011-06-30,5.78,$2.51,2.3
2011-03-31,5.91,$2.51,2.35
2010-12-31,4.87,$2.51,1.94
2010-09-30,6.16,$1.07,5.77
2010-06-30,4.66,$-2.05,0.0
2010-03-31,6.11,$1.07,5.72
2009-12-31,8.05,$1.07,7.54
