Microchip Technology Price to Free Cash Flow Ratio Historical Data,Microchip Technology Price to Free Cash Flow Ratio Historical Data,Microchip Technology Price to Free Cash Flow Ratio Historical Data,Microchip Technology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,82.16,,22.09
2024-06-30,90.98,$3.72,24.46
2024-03-31,88.78,$4.76,18.66
2023-12-31,88.77,$5.11,17.36
2023-09-30,76.43,$5.71,13.39
2023-06-30,87.28,$5.95,14.68
2023-03-31,81.22,$5.63,14.44
2022-12-31,67.81,$5.70,11.9
2022-09-30,58.65,$4.98,11.77
2022-06-30,55.58,$4.71,11.79
2022-03-31,71.61,$4.39,16.3
2021-12-31,82.68,$4.05,20.4
2021-09-30,72.68,$3.55,20.47
2021-06-30,70.69,$3.39,20.84
2021-03-31,73.08,$3.39,21.59
2020-12-31,64.86,$3.32,19.53
2020-09-30,48.12,$3.21,15.01
2020-06-30,49.14,$3.14,15.65
2020-03-31,31.51,$2.89,10.91
2019-12-31,48.51,$2.84,17.07
2019-09-30,42.87,$3.09,13.89
2019-06-30,39.84,$3.17,12.55
2019-03-31,37.94,$2.89,13.11
2018-12-31,32.76,$2.70,12.13
2018-09-30,35.77,$2.45,14.58
2018-06-30,41.04,$2.21,18.53
2018-03-31,41.07,$2.46,16.71
2017-12-31,39.33,$2.66,14.79
2017-09-30,40.03,$1.52,26.38
2017-06-30,34.26,$2.33,14.7
2017-03-31,32.6,$2.14,15.2
2016-12-31,28.2,$1.88,14.96
2016-09-30,27.17,$2.78,9.76
2016-06-30,22.06,$1.66,13.31
2016-03-31,20.8,$1.52,13.68
2015-12-31,19.91,$1.42,14.0
2015-09-30,18.29,$1.29,14.22
2015-06-30,19.97,$1.35,14.79
2015-03-31,20.44,$1.28,15.99
2014-12-31,18.73,$1.34,13.95
2014-09-30,19.45,$1.28,15.18
2014-06-30,19.94,$1.23,16.15
2014-03-31,19.37,$1.33,14.54
2013-12-31,18.0,$1.21,14.93
2013-09-30,16.08,$1.23,13.11
2013-06-30,14.73,$1.07,13.78
2013-03-31,14.4,$0.99,14.5
2012-12-31,12.64,$1.00,12.6
2012-09-30,12.56,$0.82,15.23
2012-06-30,12.56,$1.01,12.39
2012-03-31,13.97,$0.86,16.24
2011-12-31,13.63,$0.91,14.89
2011-09-30,11.46,$1.05,10.92
2011-06-30,13.81,$1.05,13.12
2011-03-31,13.73,$1.18,11.66
2010-12-31,12.35,$1.08,11.44
2010-09-30,11.13,$1.05,10.64
2010-06-30,9.7,$0.79,12.31
2010-03-31,9.73,$0.78,12.49
2009-12-31,9.92,$0.84,11.8
