Brandywine Realty Trust Price to Free Cash Flow Ratio Historical Data,Brandywine Realty Trust Price to Free Cash Flow Ratio Historical Data,Brandywine Realty Trust Price to Free Cash Flow Ratio Historical Data,Brandywine Realty Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,6.38,,8.83
2024-06-30,4.22,$0.72,5.84
2024-03-31,4.37,$0.66,6.63
2023-12-31,4.78,$0.52,9.14
2023-09-30,3.87,$0.62,6.21
2023-06-30,3.8,$0.32,11.73
2023-03-31,3.7,$0.18,20.71
2022-12-31,4.67,$0.04,113.98
2022-09-30,4.98,$-0.31,0.0
2022-06-30,6.98,$-0.17,0.0
2022-03-31,10.09,$-0.03,0.0
2021-12-31,9.45,$0.38,24.65
2021-09-30,9.32,$1.33,7.03
2021-06-30,9.39,$1.73,5.44
2021-03-31,8.72,$1.83,4.77
2020-12-31,7.91,$1.75,4.52
2020-09-30,6.75,$1.00,6.78
2020-06-30,6.97,$0.65,10.66
2020-03-31,6.61,$0.61,10.88
2019-12-31,9.77,$0.44,22.22
2019-09-30,9.28,$1.18,7.89
2019-06-30,8.66,$0.84,10.25
2019-03-31,9.48,$0.72,13.08
2018-12-31,7.58,$0.79,9.58
2018-09-30,9.15,$0.10,88.95
2018-06-30,9.73,$-0.05,0.0
2018-03-31,9.04,$0.19,48.06
2017-12-31,10.25,$0.68,15.14
2017-09-30,9.77,$0.57,17.08
2017-06-30,9.7,$0.59,16.53
2017-03-31,8.9,$0.50,17.75
2016-12-31,8.96,$3.88,2.31
2016-09-30,8.39,$3.97,2.11
2016-06-30,8.94,$4.31,2.08
2016-03-31,7.46,$3.56,2.1
2015-12-31,7.11,$-0.18,0.0
2015-09-30,6.34,$-0.32,0.0
2015-06-30,6.75,$-0.40,0.0
2015-03-31,8.05,$0.44,18.37
2014-12-31,7.97,$0.37,21.84
2014-09-30,6.95,$1.20,5.79
2014-06-30,7.63,$1.24,6.13
2014-03-31,7.0,$1.15,6.06
2013-12-31,6.74,$2.10,3.21
2013-09-30,6.24,$0.85,7.35
2013-06-30,6.33,$1.14,5.53
2013-03-31,6.88,$1.28,5.39
2012-12-31,5.58,$1.07,5.21
2012-09-30,5.51,$2.48,2.22
2012-06-30,5.51,$2.17,2.54
2012-03-31,5.06,$1.93,2.62
2011-12-31,4.12,$1.19,3.46
2011-09-30,3.4,$0.41,8.26
2011-06-30,4.86,$-0.12,0.0
2011-03-31,5.03,$0.04,118.42
2010-12-31,4.77,$0.03,174.65
2010-09-30,4.95,$0.49,10.09
2010-06-30,4.29,$0.73,5.89
2010-03-31,4.87,$0.48,10.15
2009-12-31,4.43,$0.97,4.57
