Brixmor Property Group Price to Free Cash Flow Ratio Historical Data,Brixmor Property Group Price to Free Cash Flow Ratio Historical Data,Brixmor Property Group Price to Free Cash Flow Ratio Historical Data,Brixmor Property Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,27.81,,24.91
2024-06-30,22.59,$1.12,20.24
2024-03-31,22.67,$1.19,19.06
2023-12-31,22.24,$1.40,15.87
2023-09-30,19.61,$1.64,11.94
2023-06-30,20.51,$1.76,11.66
2023-03-31,19.82,$1.17,16.99
2022-12-31,20.65,$0.35,58.69
2022-09-30,16.61,$-0.26,0.0
2022-06-30,17.96,$-0.31,0.0
2022-03-31,22.72,$0.28,81.6
2021-12-31,22.17,$0.74,29.8
2021-09-30,19.11,$1.21,15.75
2021-06-30,19.6,$1.29,15.23
2021-03-31,17.14,$1.02,16.73
2020-12-31,13.83,$0.93,14.86
2020-09-30,9.77,$0.84,11.59
2020-06-30,10.72,$1.05,10.23
2020-03-31,7.66,$1.09,7.0
2019-12-31,17.2,$1.15,14.96
2019-09-30,15.92,$2.02,7.87
2019-06-30,13.82,$3.05,4.54
2019-03-31,13.98,$3.73,3.75
2018-12-31,10.96,$4.01,2.73
2018-09-30,12.85,$3.22,3.99
2018-06-30,12.59,$2.23,5.64
2018-03-31,10.82,$2.11,5.13
2017-12-31,13.05,$1.60,8.14
2017-09-30,12.96,$1.70,7.64
2017-06-30,12.16,$1.37,8.89
2017-03-31,14.42,$1.14,12.64
2016-12-31,16.23,$1.41,11.49
2016-09-30,18.31,$1.27,14.39
2016-06-30,17.27,$1.27,13.64
2016-03-31,16.57,$1.09,15.18
2015-12-31,16.54,$1.10,15.01
2015-09-30,14.89,$1.03,14.52
2015-06-30,14.53,$1.08,13.46
2015-03-31,16.54,$1.17,14.09
2014-12-31,15.33,$1.11,13.82
2014-09-30,13.62,$2.17,6.27
