Enovis Price to Free Cash Flow Ratio Historical Data,Enovis Price to Free Cash Flow Ratio Historical Data,Enovis Price to Free Cash Flow Ratio Historical Data,Enovis Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,41.06,,0.0
2024-06-30,45.2,$-0.50,0.0
2024-03-31,62.45,$2.43,25.72
2023-12-31,56.02,$2.42,23.18
2023-09-30,52.73,$1.82,28.98
2023-06-30,64.12,$0.08,776.27
2022-12-31,53.52,$-2.93,0.0
2022-09-30,46.07,$3.90,11.81
2022-06-30,55.0,$3.52,15.65
2022-03-31,68.49,$5.60,12.23
2021-12-31,79.12,$7.36,10.75
2023-03-31,53.49,$3.14,17.01
2021-09-30,79.0,$5.79,13.65
2021-06-30,78.85,$5.63,14.0
2021-03-31,75.4,$5.01,15.04
2020-12-31,65.82,$4.31,15.25
2020-09-30,53.98,$2.98,18.09
2020-06-30,48.02,$2.44,19.66
2020-03-31,34.08,$3.00,11.36
2019-12-31,62.62,$0.29,214.0
2019-09-30,50.02,$2.18,22.95
2019-06-30,48.24,$3.08,15.65
2019-03-31,51.08,$2.73,18.7
2018-12-31,35.97,$4.76,7.56
2018-09-30,62.07,$3.85,16.11
2018-06-30,52.75,$2.98,17.71
2018-03-31,54.91,$3.33,16.47
2017-12-31,68.19,$4.14,16.46
2017-09-30,71.67,$5.46,13.13
2017-06-30,67.76,$5.63,12.03
2017-03-31,67.57,$5.34,12.65
2016-12-31,61.84,$4.65,13.3
2016-09-30,54.1,$4.22,12.81
2016-06-30,45.54,$5.21,8.74
2016-03-31,49.21,$5.94,8.28
2015-12-31,40.19,$5.62,7.15
2015-09-30,51.48,$6.83,7.54
2015-06-30,79.43,$8.66,9.18
2015-03-31,82.15,$9.15,8.98
2014-12-31,88.76,$7.37,12.04
2014-09-30,98.06,$8.56,11.45
2014-06-30,128.3,$7.22,17.77
2014-03-31,122.77,$7.59,16.18
2013-12-31,109.62,$8.69,12.62
2013-09-30,97.23,$8.09,12.02
2013-06-30,89.69,$6.62,13.55
2013-03-31,80.1,$6.70,11.96
2012-12-31,69.45,$2.99,23.21
2012-09-30,63.12,$-0.70,0.0
2012-06-30,47.45,$-0.83,0.0
2012-03-31,60.65,$-1.86,0.0
2011-12-31,49.02,$2.95,16.62
2011-09-30,34.87,$3.70,9.41
2011-06-30,42.69,$3.38,12.63
2011-03-31,39.5,$2.57,15.36
2010-12-31,31.69,$3.40,9.31
2010-09-30,25.59,$1.89,13.54
2010-06-30,17.92,$2.61,6.87
2010-03-31,20.26,$2.35,8.61
2009-12-31,20.72,$1.93,10.72
