Macro Bank Price to Free Cash Flow Ratio Historical Data,Macro Bank Price to Free Cash Flow Ratio Historical Data,Macro Bank Price to Free Cash Flow Ratio Historical Data,Macro Bank Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,71.2,,0.0
2024-03-31,43.96,$-20.20,0.0
2023-12-31,25.6,$-8.46,0.0
2023-09-30,17.6,$22.61,0.78
2023-06-30,21.48,$46.73,0.46
2023-03-31,14.5,$60.23,0.24
2022-12-31,13.37,$59.42,0.22
2022-09-30,11.55,$39.77,0.29
2022-06-30,8.89,$26.75,0.33
2022-03-31,13.11,$16.24,0.81
2021-12-31,10.63,$6.20,1.71
2021-09-30,12.88,$10.96,1.17
2021-06-30,11.39,$19.72,0.58
2021-03-31,10.12,$0.69,14.57
2020-09-30,10.84,$-5.61,0.0
2020-06-30,14.06,$14.54,0.97
2019-09-30,19.72,$0.85,23.25
2019-06-30,55.22,$19.19,2.88
2018-06-30,42.55,$9.31,4.57
2018-03-31,76.09,$-12.20,0.0
2017-12-31,81.66,$-11.97,0.0
2017-09-30,82.7,$-11.13,0.0
2017-06-30,64.97,$12.32,5.27
2017-03-31,60.6,$14.40,4.21
2016-12-31,44.98,$14.17,3.17
2016-09-30,54.7,$14.47,3.78
2016-06-30,51.37,$13.21,3.89
2016-03-31,44.62,$4.82,9.25
2015-12-31,40.07,0,0.0
2015-09-30,26.48,$9.32,2.84
2015-06-30,31.44,$5.64,5.57
2015-03-31,39.44,$9.28,4.25
2014-12-31,30.15,$8.94,3.37
2014-09-30,27.31,$8.37,3.26
2014-06-30,24.84,$8.38,2.96
2014-03-31,18.75,$-0.19,0.0
2013-12-31,16.17,$5.84,2.77
2013-09-30,15.99,$-8.03,0.0
2013-06-30,9.56,$-11.89,0.0
2013-03-31,9.81,$-12.21,0.0
2012-12-31,12.09,$0.00,0.0
2012-09-30,9.45,$4.32,2.18
2012-06-30,8.63,$6.19,1.39
2012-03-31,13.06,$13.57,0.96
2011-12-31,12.99,$3.22,4.04
2011-09-30,13.33,$6.17,2.16
2011-06-30,25.14,$6.75,3.72
2011-03-31,25.18,$5.91,4.26
2010-12-31,31.58,$4.72,6.69
2010-09-30,28.02,$5.63,4.98
2010-06-30,18.52,$5.62,3.3
2010-03-31,18.24,$7.14,2.55
2009-12-31,18.16,$6.23,2.91
