U.S Physical Therapy Price to Free Cash Flow Ratio Historical Data,U.S Physical Therapy Price to Free Cash Flow Ratio Historical Data,U.S Physical Therapy Price to Free Cash Flow Ratio Historical Data,U.S Physical Therapy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,84.45,,18.5
2024-06-30,91.94,$4.57,20.14
2024-03-31,111.81,$4.58,24.4
2023-12-31,91.88,$5.12,17.94
2023-09-30,90.05,$4.47,20.15
2023-06-30,118.66,$4.61,25.77
2023-03-31,95.34,$3.88,24.57
2022-12-31,78.55,$3.87,20.28
2022-09-30,73.34,$3.68,19.95
2022-06-30,104.84,$4.55,23.03
2022-03-31,95.11,$4.74,20.04
2021-12-31,90.98,$5.29,17.21
2021-09-30,104.91,$6.04,17.37
2021-06-30,109.53,$6.29,17.41
2021-03-31,98.11,$4.35,22.57
2020-12-31,112.99,$4.13,27.33
2020-09-30,81.64,$3.51,23.23
2020-06-30,76.13,$2.53,30.1
2019-12-31,107.03,$4.10,26.13
2019-09-30,121.88,$7.19,16.95
2019-06-30,114.17,$7.06,16.17
2019-03-31,97.61,$7.75,12.59
2018-12-31,94.87,$7.92,11.99
2020-03-31,64.84,$4.90,13.22
2018-09-30,109.72,$4.97,22.07
2018-06-30,88.63,$4.59,19.33
2018-03-31,74.87,$4.05,18.49
2017-12-31,66.31,$3.94,16.83
2017-09-30,56.27,$3.57,15.78
2017-06-30,55.12,$2.73,20.19
2017-03-31,59.22,$3.41,17.39
2016-12-31,63.67,$3.43,18.57
2016-09-30,56.71,$3.25,17.47
2016-06-30,54.31,$3.41,15.91
2016-03-31,44.72,$3.43,13.04
2015-12-31,48.11,$2.53,19.03
2015-09-30,40.11,$2.88,13.92
2015-06-30,48.79,$2.74,17.79
2015-03-31,42.19,$2.86,14.74
2014-12-31,37.15,$2.97,12.52
2014-09-30,31.24,$3.27,9.56
2014-06-30,30.08,$3.40,8.85
2014-03-31,30.3,$3.30,9.19
2013-12-31,30.79,$3.36,9.16
2013-09-30,27.05,$2.87,9.44
2013-06-30,23.98,$3.03,7.92
2013-03-31,23.2,$0.79,29.4
2012-12-31,23.7,$1.43,16.53
2012-09-30,23.34,$1.27,18.42
2012-06-30,21.41,$1.03,20.83
2011-12-31,16.43,$2.46,6.69
2011-09-30,15.4,$3.49,4.41
2011-06-30,20.48,$3.29,6.23
2011-03-31,18.44,$3.60,5.13
2010-12-31,16.24,$3.72,4.36
2012-03-31,19.33,$2.21,8.74
2010-09-30,13.7,$2.34,5.86
2010-06-30,13.83,$2.23,6.2
2010-03-31,14.25,$2.36,6.04
2009-12-31,13.87,$2.30,6.04
