Black Stone Minerals Price to Free Cash Flow Ratio Historical Data,Black Stone Minerals Price to Free Cash Flow Ratio Historical Data,Black Stone Minerals Price to Free Cash Flow Ratio Historical Data,Black Stone Minerals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,15.09,,7.62
2024-06-30,15.27,$1.98,7.71
2024-03-31,15.22,$2.18,6.97
2023-12-31,14.74,$2.29,6.43
2023-09-30,15.49,$2.52,6.15
2023-06-30,13.95,$2.45,5.69
2023-03-31,13.3,$2.10,6.35
2022-12-31,13.89,$1.89,7.35
2022-09-30,12.57,$1.55,8.13
2022-06-30,10.69,$1.33,8.01
2022-03-31,10.23,$1.34,7.64
2021-12-31,7.68,$1.21,6.33
2021-09-30,8.77,$1.16,7.59
2021-06-30,7.64,$1.92,3.98
2021-03-31,6.09,$0.39,15.77
2020-12-31,4.58,$0.64,7.21
2020-09-30,4.12,$0.92,4.5
2020-06-30,4.27,$0.35,12.19
2019-12-31,8.01,$1.98,4.06
2019-09-30,8.72,$1.80,4.83
2019-06-30,9.49,$1.77,5.35
2019-03-31,10.57,$1.76,6.0
2018-12-31,9.09,$1.59,5.72
2018-09-30,10.46,$1.62,6.44
2018-06-30,10.43,$1.46,7.14
2018-03-31,9.18,$1.31,7.01
2017-12-31,9.78,$1.32,7.43
2017-09-30,9.28,$1.13,8.21
2017-06-30,8.28,$0.92,9.03
2017-03-31,8.52,$0.51,16.87
2016-12-31,9.54,$0.61,15.71
2016-09-30,8.91,$0.42,21.41
2016-06-30,7.61,$0.67,11.31
2020-03-31,3.04,$1.11,2.73
2016-03-31,6.77,$1.34,5.04
