Kontoor Brands Price to Free Cash Flow Ratio Historical Data,Kontoor Brands Price to Free Cash Flow Ratio Historical Data,Kontoor Brands Price to Free Cash Flow Ratio Historical Data,Kontoor Brands Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,83.12,,12.75
2024-06-30,65.69,$6.52,10.08
2024-03-31,59.42,$6.93,8.57
2023-12-31,61.06,$5.61,10.89
2023-09-30,42.56,$3.17,13.45
2023-06-30,40.36,$1.03,39.14
2023-03-31,45.87,$-0.67,0.0
2022-12-31,37.56,$0.97,38.76
2022-09-30,31.21,$1.02,30.71
2022-06-30,30.59,$4.05,7.56
2022-03-31,37.46,$3.57,10.48
2021-12-31,45.9,$4.18,10.98
2021-09-30,44.35,$4.68,9.47
2021-06-30,49.71,$5.37,9.26
2021-03-31,42.5,$6.05,7.02
2020-12-31,35.23,$3.10,11.35
2020-09-30,20.84,$4.53,4.6
2020-06-30,15.34,$2.33,6.58
2020-03-31,16.51,$11.80,1.4
