WD-40 Price to Free Cash Flow Ratio Historical Data,WD-40 Price to Free Cash Flow Ratio Historical Data,WD-40 Price to Free Cash Flow Ratio Historical Data,WD-40 Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,264.78,,35.03
2024-05-31,223.91,$7.56,29.62
2024-02-29,266.43,$8.65,30.79
2023-11-30,239.33,$8.04,29.78
2023-08-31,211.74,$6.78,31.25
2023-05-31,186.2,$3.34,55.76
2023-02-28,169.49,$0.89,190.56
2022-11-30,162.9,$0.54,301.34
2022-08-31,183.02,$-0.37,0.0
2022-05-31,181.81,$1.28,141.68
2022-02-28,203.2,$2.59,78.36
2021-11-30,214.46,$3.40,63.12
2021-08-31,228.36,$5.12,44.64
2021-05-31,232.64,$6.09,38.21
2021-02-28,295.43,$5.54,53.36
2020-11-30,240.42,$4.71,51.08
2020-08-31,192.56,$3.92,49.18
2020-05-31,180.14,$3.33,54.17
2020-02-29,161.32,$3.66,44.08
2019-11-30,179.97,$3.74,48.14
2019-08-31,169.33,$3.61,46.88
2019-05-31,144.71,$3.56,40.63
2019-02-28,165.06,$3.81,43.29
2018-11-30,160.55,$3.52,45.66
2018-08-31,162.54,$3.79,42.88
2018-05-31,125.57,$3.37,37.23
2018-02-28,113.38,$3.14,36.09
2017-11-30,108.1,$3.08,35.12
2017-08-31,98.21,$2.54,38.69
2017-05-31,94.85,$2.81,33.78
2017-02-28,98.15,$3.96,24.82
2016-11-30,95.91,$3.57,26.85
2016-08-31,104.78,$4.26,24.6
2016-05-31,98.26,$4.08,24.09
2016-02-29,94.9,$3.21,29.52
2015-11-30,86.42,$3.83,22.55
2015-08-31,72.97,$3.39,21.54
2015-05-31,73.2,$3.19,22.94
2015-02-28,70.13,$2.23,31.4
2014-11-30,65.43,$2.48,26.39
2014-08-31,58.77,$2.31,25.45
2014-05-31,61.47,$2.21,27.8
2014-02-28,61.81,$2.59,23.85
2013-11-30,63.51,$2.54,25.03
2013-08-31,48.87,$3.13,15.62
2013-05-31,45.32,$2.65,17.12
2013-02-28,45.04,$2.46,18.29
2012-11-30,39.0,$2.13,18.29
2012-08-31,40.05,$1.97,20.31
2012-05-31,38.15,$1.98,19.26
2012-02-29,34.91,$2.08,16.8
2011-11-30,33.32,$2.19,15.19
2011-08-31,32.9,$1.61,20.46
2011-05-31,33.69,$2.19,15.37
2011-02-28,32.11,$2.31,13.88
2010-11-30,30.66,$2.53,12.12
2010-08-31,27.4,$3.28,8.35
2010-05-31,25.25,$2.99,8.44
2010-02-28,24.06,$2.69,8.93
2009-11-30,24.51,$2.88,8.52
