Alamo Price to Free Cash Flow Ratio Historical Data,Alamo Price to Free Cash Flow Ratio Historical Data,Alamo Price to Free Cash Flow Ratio Historical Data,Alamo Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,179.83,,73.8
2024-06-30,172.51,$2.44,70.8
2023-12-31,209.07,$8.85,23.62
2023-09-30,171.72,$3.56,48.22
2023-06-30,182.49,$0.56,323.92
2023-03-31,182.51,$-0.52,0.0
2022-12-31,140.13,$0.02,7298.68
2024-03-31,227.41,$-4.10,0.0
2022-09-30,120.85,$-4.03,0.0
2022-06-30,114.9,$-2.79,0.0
2022-03-31,141.71,$-1.15,0.0
2021-12-31,144.89,$2.86,50.59
2021-09-30,137.23,$7.07,19.42
2021-06-30,150.01,$10.99,13.66
2021-03-31,153.29,$13.36,11.48
2020-12-31,135.3,$14.37,9.42
2020-09-30,105.83,$13.30,7.96
2020-06-30,100.42,$10.15,9.89
2020-03-31,86.74,$8.27,10.49
2019-12-31,122.54,$5.06,24.2
2019-09-30,114.78,$2.41,47.54
2019-06-30,97.32,$1.25,77.56
2019-03-31,97.21,$-1.16,0.0
2018-12-31,75.1,$-1.05,0.0
2018-09-30,88.86,$0.97,91.38
2018-06-30,87.54,$1.18,73.91
2018-03-31,106.37,$-3.89,0.0
2017-12-31,109.14,$1.35,80.59
2017-09-30,103.72,$2.86,36.3
2017-06-30,87.63,$1.12,77.97
2016-12-31,73.24,$5.83,12.57
2016-09-30,63.33,$7.52,8.43
2016-06-30,63.32,$3.53,17.95
2016-03-31,53.39,$6.34,8.42
2015-12-31,49.84,$7.00,7.12
2017-03-31,73.42,$1.81,40.58
2015-09-30,44.64,$2.40,18.62
2015-06-30,52.09,$2.12,24.57
2015-03-31,60.11,$2.28,26.37
2014-12-31,46.05,$1.81,25.38
2014-09-30,38.91,$2.44,15.95
2014-06-30,51.26,$2.34,21.94
2014-03-31,51.42,$1.66,31.02
2013-12-31,57.37,$1.51,37.94
2013-09-30,46.16,$2.49,18.54
2013-06-30,38.46,$2.24,17.19
2013-03-31,35.98,$3.62,9.95
2012-12-31,30.64,$3.91,7.83
2012-09-30,31.65,$3.26,9.71
2012-06-30,29.33,$2.84,10.34
2012-03-31,28.05,$0.96,29.38
2011-12-31,25.08,$0.45,56.19
2011-09-30,19.31,$-0.25,0.0
2011-06-30,21.96,$-0.36,0.0
2011-03-31,25.37,$-5.56,0.0
2010-12-31,25.66,$-1.21,0.0
2010-09-30,20.55,$1.67,12.28
2010-06-30,19.92,$1.77,11.25
2009-12-31,15.64,$6.71,2.33
2009-09-30,14.36,$3.85,3.73
