Envestnet Price to Free Cash Flow Ratio Historical Data,Envestnet Price to Free Cash Flow Ratio Historical Data,Envestnet Price to Free Cash Flow Ratio Historical Data,Envestnet Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,62.72,,30.18
2024-06-30,62.59,$2.08,30.12
2024-03-31,57.91,$1.54,37.5
2023-12-31,49.52,$0.76,64.88
2023-09-30,44.03,$-0.40,0.0
2023-06-30,59.35,$-0.59,0.0
2023-03-31,58.67,$-0.86,0.0
2022-12-31,61.7,$-0.12,0.0
2022-09-30,44.4,$1.12,39.73
2022-06-30,52.77,$1.53,34.46
2022-03-31,74.44,$2.05,36.3
2021-12-31,79.34,$2.92,27.18
2021-09-30,80.24,$2.33,34.42
2021-06-30,75.86,$2.66,28.5
2021-03-31,72.23,$2.47,29.23
2020-12-31,82.29,$1.92,42.88
2020-09-30,77.16,$2.14,36.07
2020-06-30,73.54,$2.14,34.3
2020-03-31,53.78,$1.50,35.75
2019-12-31,69.63,$1.08,64.74
2019-09-30,56.7,$0.94,60.56
2019-06-30,68.37,$0.66,103.29
2019-03-31,65.39,$1.24,52.86
2018-12-31,49.19,$1.54,32.02
2018-09-30,60.95,$1.72,35.45
2018-06-30,54.95,$1.84,29.87
2018-03-31,57.3,$1.57,36.57
2017-12-31,49.85,$1.84,27.02
2017-09-30,51.0,$1.72,29.71
2017-06-30,39.6,$1.45,27.27
2017-03-31,32.3,$1.23,26.25
2016-12-31,35.25,$1.41,24.92
2016-09-30,36.45,$1.15,31.56
2016-06-30,33.31,$1.20,27.67
2016-03-31,27.2,$1.11,24.43
2015-12-31,29.85,$0.71,41.94
2015-09-30,29.97,$0.93,32.11
2015-06-30,40.43,$0.88,45.74
2015-03-31,56.08,$1.01,55.77
2014-12-31,49.14,$1.26,39.02
2014-09-30,45.0,$1.06,42.6
2014-06-30,48.92,$0.66,74.22
2014-03-31,40.18,$0.57,69.98
2013-12-31,40.3,$0.55,73.38
2013-09-30,31.0,$0.46,66.7
2013-06-30,24.6,$0.66,37.42
2013-03-31,17.51,$0.15,118.15
2012-12-31,13.95,$0.23,60.0
2012-09-30,11.7,$0.13,91.19
2012-06-30,12.0,$0.09,137.77
2011-12-31,11.96,$0.56,21.28
2011-09-30,10.0,$0.53,18.88
2011-06-30,14.85,$-0.07,0.0
2011-03-31,13.44,$-0.10,0.0
