Interface Price to Free Cash Flow Ratio Historical Data,Interface Price to Free Cash Flow Ratio Historical Data,Interface Price to Free Cash Flow Ratio Historical Data,Interface Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,19.89,,11.53
2024-06-30,14.67,$1.73,8.5
2024-03-31,16.8,$1.85,9.07
2023-12-31,12.6,$2.10,6.0
2023-09-30,9.78,$2.17,4.51
2023-06-30,8.76,$1.53,5.73
2023-03-31,8.08,$1.21,6.68
2022-12-31,9.81,$0.42,23.45
2022-09-30,8.92,$0.23,38.67
2022-06-30,12.44,$0.24,52.59
2022-03-31,13.45,$0.28,48.0
2021-12-31,15.8,$0.99,15.89
2021-09-30,15.0,$2.40,6.25
2021-06-30,15.13,$1.35,11.22
2021-03-31,12.34,$1.82,6.8
2020-12-31,10.37,$2.34,4.43
2020-03-31,7.44,$1.02,7.29
2019-12-31,16.18,$1.14,14.21
2019-09-30,14.03,$0.74,19.08
2019-06-30,14.81,$0.57,26.16
2019-03-31,14.74,$0.31,47.58
2018-12-31,13.66,$0.62,22.04
2018-09-30,22.29,$0.94,23.79
2018-06-30,21.85,$0.88,24.86
2018-03-31,23.92,$0.97,24.65
2017-12-31,23.81,$1.17,20.27
2017-09-30,20.68,$0.92,22.5
2017-06-30,18.49,$0.85,21.85
2017-03-31,17.87,$1.12,15.95
2016-12-31,17.35,$1.07,16.14
2016-09-30,15.55,$1.35,11.52
2016-06-30,14.16,$1.25,11.33
2016-03-31,17.16,$1.18,14.59
2015-12-31,17.66,$1.50,11.76
2015-09-30,20.63,$1.12,18.47
2015-06-30,23.01,$1.02,22.61
2015-03-31,19.05,$0.55,34.62
2014-12-31,15.07,$0.11,134.32
2014-09-30,14.73,$-0.03,0.0
2014-06-30,17.16,$-0.05,0.0
2014-03-31,18.68,$-0.19,0.0
2013-12-31,19.93,$-0.38,0.0
2013-09-30,17.99,$-0.47,0.0
2013-06-30,15.36,$-0.60,0.0
2013-03-31,17.37,$-0.51,0.0
2012-12-31,14.5,$0.07,214.22
2012-09-30,11.9,$0.34,35.48
2012-06-30,12.26,$0.43,28.6
2012-03-31,12.53,$0.07,188.08
2011-12-31,10.34,$-0.45,0.0
2011-09-30,10.61,$-0.52,0.0
2011-06-30,17.31,$-0.63,0.0
2020-06-30,8.02,$-0.03,0.0
2010-12-31,13.98,$0.24,57.34
2010-09-30,12.67,$1.36,9.3
2010-06-30,9.55,$0.74,12.87
2010-03-31,10.29,$0.94,10.96
2009-12-31,7.39,$1.40,5.28
2011-03-31,16.5,$0.13,127.83
2009-09-30,7.37,$1.43,5.17
