Synovus Financial Price to Free Cash Flow Ratio Historical Data,Synovus Financial Price to Free Cash Flow Ratio Historical Data,Synovus Financial Price to Free Cash Flow Ratio Historical Data,Synovus Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,50.85,,9.04
2024-06-30,39.86,$5.62,7.09
2024-03-31,39.32,$6.19,6.35
2023-12-31,36.6,$8.52,4.29
2023-09-30,26.75,$10.69,2.5
2023-06-30,28.72,$11.35,2.53
2023-03-31,28.91,$9.08,3.18
2022-12-31,34.76,$7.93,4.38
2022-09-30,34.41,$3.62,9.5
2022-06-30,32.79,$3.71,8.85
2022-03-31,44.16,$6.28,7.03
2021-12-31,42.85,$5.17,8.29
2021-09-30,39.02,$7.05,5.54
2021-06-30,38.69,$8.86,4.37
2021-03-31,40.06,$-0.07,0.0
2020-12-31,28.15,$-0.09,0.0
2020-09-30,18.23,$-0.08,0.0
2020-06-30,17.42,$-3.93,0.0
2020-03-31,14.68,$2.85,5.14
2019-12-31,31.94,$3.59,8.9
2019-09-30,28.91,$3.22,8.98
2019-06-30,28.07,$3.79,7.41
2019-03-31,27.31,$4.31,6.34
2018-12-31,25.22,$4.10,6.16
2018-09-30,35.81,$4.04,8.88
2018-06-30,41.1,$4.61,8.91
2018-03-31,38.68,$1.91,20.22
2017-12-31,36.95,$2.30,16.09
2017-09-30,35.4,$2.24,15.83
2017-06-30,33.88,$1.21,28.02
2016-12-31,31.24,$3.45,9.05
2016-09-30,24.67,$3.36,7.34
2016-06-30,21.9,$3.79,5.77
2016-03-31,21.75,$3.51,6.19
2015-12-31,24.26,$3.13,7.76
2015-09-30,22.1,$2.84,7.77
2015-06-30,22.93,$2.37,9.69
2015-03-31,20.78,$-1.53,0.0
2014-12-31,20.02,$-0.84,0.0
2014-09-30,17.4,$-0.29,0.0
2014-06-30,17.9,$-0.36,0.0
2013-12-31,18.39,$4.30,4.28
2013-09-30,16.81,$6.20,2.71
2013-06-30,14.83,$5.60,2.65
2013-03-31,14.02,$3.39,4.14
2012-12-31,12.36,$1.73,7.16
2014-03-31,17.37,$1.54,11.26
2012-09-30,11.9,$2.55,4.67
2012-06-30,9.9,$4.21,2.35
2012-03-31,10.19,$6.28,1.62
2011-12-31,6.97,$5.66,1.23
2011-09-30,5.25,$7.34,0.72
2011-06-30,10.14,$6.75,1.5
2011-03-31,11.64,$4.44,2.62
2010-12-31,12.75,$9.11,1.4
2010-09-30,11.84,$2.73,4.33
2010-06-30,12.17,$10.26,1.19
2010-03-31,15.71,$13.07,1.2
2009-12-31,9.76,$7.35,1.33
2009-09-30,17.76,$11.52,1.54
