Riot Platforms Price to Free Cash Flow Ratio Historical Data,Riot Platforms Price to Free Cash Flow Ratio Historical Data,Riot Platforms Price to Free Cash Flow Ratio Historical Data,Riot Platforms Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,9.2,,0.0
2024-06-30,9.14,$-1.00,0.0
2024-03-31,12.24,$-1.21,0.0
2023-12-31,15.47,$-0.88,0.0
2023-09-30,9.33,$-1.06,0.0
2023-06-30,11.82,$-1.03,0.0
2023-03-31,9.99,$-0.46,0.0
2022-12-31,3.39,$-1.06,0.0
2022-09-30,7.01,$-1.89,0.0
2022-06-30,4.19,$-2.82,0.0
2022-03-31,21.17,$-3.10,0.0
2021-12-31,22.33,$-2.50,0.0
2021-09-30,25.7,$-1.38,0.0
2021-06-30,37.67,$-0.45,0.0
2021-03-31,53.27,$-0.26,0.0
2020-12-31,16.99,$-0.26,0.0
2020-09-30,2.7,$-0.82,0.0
2020-06-30,2.22,$-0.72,0.0
2020-03-31,0.83,$-0.91,0.0
2019-12-31,1.12,$-1.04,0.0
2019-09-30,1.78,$-0.93,0.0
2019-06-30,3.14,$-1.24,0.0
2019-03-31,3.27,$-1.15,0.0
2018-12-31,1.51,$-2.93,0.0
2018-09-30,3.65,$-2.71,0.0
2018-06-30,6.34,$-2.43,0.0
2018-03-31,6.62,$-2.37,0.0
2017-12-31,28.4,$-0.74,0.0
2017-09-30,4.6,$-0.99,0.0
2017-06-30,3.64,$-1.21,0.0
2017-03-31,3.57,$-1.23,0.0
2016-12-31,3.42,$-0.91,0.0
2016-09-30,2.7,$-0.93,0.0
2016-06-30,3.13,$-0.99,0.0
2016-03-31,2.41,$-1.22,0.0
2015-12-31,2.17,$-1.77,0.0
2015-09-30,2.19,$-2.05,0.0
2015-06-30,3.19,$-2.27,0.0
2015-03-31,3.3,$-2.11,0.0
2014-12-31,12.62,$-2.57,0.0
2014-09-30,11.84,$-3.88,0.0
2014-06-30,15.9,$-3.52,0.0
2014-03-31,18.75,$-3.66,0.0
2013-12-31,15.26,$-4.60,0.0
2013-09-30,13.83,$-7.67,0.0
2013-06-30,8.56,$1.35,6.35
2013-03-31,15.4,$-2.22,0.0
2012-12-31,18.25,$-8.86,0.0
2012-09-30,19.75,$-15.26,0.0
2012-06-30,13.41,$-36.51,0.0
2012-03-31,31.23,$-45.75,0.0
2011-12-31,41.5,$-50.25,0.0
2011-09-30,128.35,$-52.96,0.0
2011-06-30,139.04,$-52.42,0.0
2011-03-31,181.83,$-59.25,0.0
2010-12-31,129.08,$-66.50,0.0
2010-09-30,109.1,$-77.28,0.0
2010-06-30,209.63,$-86.13,0.0
2010-03-31,487.72,$-87.97,0.0
2009-12-31,372.21,$-83.97,0.0
