Roku Price to Free Cash Flow Ratio Historical Data,Roku Price to Free Cash Flow Ratio Historical Data,Roku Price to Free Cash Flow Ratio Historical Data,Roku Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,76.95,,34.1
2024-06-30,59.93,$2.26,26.56
2024-03-31,65.17,$3.02,21.55
2023-12-31,91.66,$1.22,74.9
2023-09-30,70.59,$0.70,100.14
2023-06-30,63.96,$-1.19,0.0
2023-03-31,65.82,$-3.21,0.0
2022-12-31,40.7,$-1.09,0.0
2022-09-30,56.4,$-0.92,0.0
2022-06-30,82.14,$-0.05,0.0
2022-03-31,125.27,$1.31,95.39
2021-12-31,228.2,$1.33,171.93
2021-09-30,313.35,$1.93,162.21
2021-06-30,459.25,$1.32,347.6
2021-03-31,325.77,$1.18,275.66
2020-12-31,332.02,$0.53,625.51
2020-09-30,188.8,$-0.25,0.0
2020-06-30,116.53,$-0.34,0.0
2020-03-31,87.48,$-0.40,0.0
2019-12-31,133.9,$-0.55,0.0
2019-09-30,101.76,$0.05,1960.69
2019-06-30,90.58,$0.05,1947.96
2019-03-31,64.51,$-0.00,0.0
2018-12-31,30.64,$-0.04,0.0
2018-09-30,73.03,$-3.88,0.0
2018-06-30,42.62,$0.82,51.79
