Regency Centers Price to Free Cash Flow Ratio Historical Data,Regency Centers Price to Free Cash Flow Ratio Historical Data,Regency Centers Price to Free Cash Flow Ratio Historical Data,Regency Centers Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,72.69,,34.05
2024-06-30,62.2,$2.13,29.13
2024-03-31,59.9,$2.40,25.0
2023-12-31,65.54,$2.50,26.19
2023-09-30,57.57,$2.44,23.56
2023-06-30,59.22,$2.55,23.23
2023-03-31,58.03,$2.03,28.54
2022-12-31,58.64,$1.69,34.65
2022-09-30,50.02,$0.13,387.42
2022-06-30,54.51,$-0.45,0.0
2022-03-31,64.85,$0.23,279.76
2021-12-31,67.84,$0.53,129.1
2021-09-30,60.1,$2.37,25.39
2021-06-30,56.69,$2.72,20.84
2021-03-31,49.73,$2.10,23.63
2020-12-31,39.58,$1.78,22.24
2020-09-30,32.61,$1.71,19.11
2020-06-30,38.81,$0.66,58.4
2020-03-31,31.99,$1.05,30.36
2019-12-31,52.02,$1.18,43.93
2019-09-30,56.79,$1.26,45.18
2019-06-30,54.05,$2.28,23.74
2019-03-31,54.18,$1.75,31.04
2018-12-31,46.69,$1.76,26.58
2018-09-30,51.02,$0.56,90.46
2018-06-30,48.55,$0.41,119.85
2018-03-31,45.68,$0.65,69.76
2017-12-31,53.07,$-0.04,0.0
2017-09-30,47.22,$0.36,130.54
2017-06-30,47.29,$-0.30,0.0
2017-03-31,49.69,$-3.14,0.0
2016-12-31,51.23,$-2.67,0.0
2016-09-30,57.17,$-2.28,0.0
2016-06-30,61.39,$-2.05,0.0
2016-03-31,54.53,$0.61,89.64
2015-12-31,49.27,$0.37,132.96
2015-09-30,44.63,$-0.13,0.0
2015-06-30,42.03,$-0.06,0.0
2015-03-31,48.13,$-0.00,0.0
2014-12-31,44.78,$-0.79,0.0
2014-09-30,37.51,$-1.34,0.0
2014-06-30,38.48,$-1.34,0.0
2014-03-31,34.98,$-1.66,0.0
2013-12-31,31.42,$-0.77,0.0
2013-09-30,32.5,$-0.81,0.0
2013-06-30,33.85,$-1.07,0.0
2013-03-31,34.97,$-1.05,0.0
2012-12-31,30.86,$-0.71,0.0
2012-09-30,31.6,$0.35,90.79
2012-06-30,30.56,$0.36,84.74
2012-03-31,28.29,$0.75,37.56
2011-12-31,23.67,$0.74,32.18
2011-09-30,21.96,$0.23,94.16
2011-06-30,27.01,$0.55,48.92
2011-03-31,26.44,$0.56,46.92
2010-12-31,25.41,$0.58,43.73
2010-09-30,23.48,$3.48,6.75
2010-06-30,20.21,$3.66,5.53
2010-03-31,21.75,$3.58,6.07
2009-12-31,20.07,$3.05,6.59
