Nexa Resources S.A Price to Free Cash Flow Ratio Historical Data,Nexa Resources S.A Price to Free Cash Flow Ratio Historical Data,Nexa Resources S.A Price to Free Cash Flow Ratio Historical Data,Nexa Resources S.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,7.72,,0.0
2024-06-30,7.64,$-1.02,0.0
2024-03-31,7.16,$-0.86,0.0
2023-12-31,7.14,$-0.47,0.0
2023-09-30,6.05,$-0.55,0.0
2023-06-30,4.86,$-1.19,0.0
2023-03-31,6.28,$-0.92,0.0
2022-12-31,5.85,$-0.87,0.0
2022-09-30,5.0,$-1.08,0.0
2022-06-30,5.83,$-1.00,0.0
2022-03-31,9.06,$-0.82,0.0
2021-12-31,7.33,$0.08,97.2
2021-09-30,7.09,$0.87,8.16
2021-06-30,8.18,$2.00,4.1
2021-03-31,9.56,$1.01,9.43
2020-12-31,8.78,$-0.23,0.0
2020-09-30,4.82,$-1.55,0.0
2020-06-30,6.05,$-2.19,0.0
2020-03-31,3.17,$-2.37,0.0
2019-12-31,6.85,$-2.02,0.0
2019-09-30,7.92,$-1.29,0.0
2019-06-30,8.07,$-1.11,0.0
2019-03-31,10.48,$-0.68,0.0
2018-12-31,9.57,$0.37,25.98
2018-09-30,9.7,$2.16,4.49
