Ashland Price to Free Cash Flow Ratio Historical Data,Ashland Price to Free Cash Flow Ratio Historical Data,Ashland Price to Free Cash Flow Ratio Historical Data,Ashland Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,87.78,,12.87
2024-06-30,94.06,$6.82,13.79
2024-03-31,96.93,$3.79,25.59
2023-12-31,83.59,$5.77,14.48
2023-09-30,80.59,$2.41,33.41
2023-06-30,85.37,$1.23,69.61
2022-09-30,92.29,$2.34,39.45
2022-06-30,99.81,$6.53,15.29
2022-03-31,95.02,$2.15,44.15
2021-12-31,103.61,$4.84,21.41
2021-09-30,85.52,$5.08,16.83
2023-03-31,100.44,$-0.56,0.0
2021-06-30,83.69,$4.57,18.29
2021-03-31,84.63,$3.65,23.17
2020-12-31,75.26,$3.57,21.06
2020-09-30,67.15,$1.62,41.37
2020-06-30,65.18,$1.11,58.58
2020-03-31,47.04,$0.10,466.2
2019-12-31,71.63,$-0.40,0.0
2019-09-30,71.84,$0.03,2224.1
2019-06-30,74.28,$1.17,63.55
2019-03-31,72.3,$1.28,56.43
2018-12-31,65.46,$1.59,41.05
2018-09-30,77.12,$1.38,56.09
2018-06-30,71.68,$0.16,462.48
2018-03-31,63.79,$0.52,122.36
2017-12-31,64.87,$0.85,76.14
2017-09-30,59.4,$0.17,340.18
2017-06-30,59.65,$1.25,47.78
2017-03-31,54.56,$-1.06,0.0
2016-12-31,48.01,$0.80,59.71
2016-09-30,50.76,$2.52,20.17
2016-06-30,50.24,$-1.22,0.0
2016-03-31,48.14,$-4.87,0.0
2015-12-31,44.96,$-6.99,0.0
2015-09-30,44.05,$-7.09,0.0
2015-06-30,53.36,$-3.48,0.0
2015-03-31,55.73,$3.15,17.71
2014-12-31,52.43,$4.74,11.05
2014-09-30,45.57,$4.29,10.61
2014-06-30,47.6,$5.15,9.24
2014-03-31,43.55,$4.83,9.01
2013-12-31,42.48,$4.19,10.13
2013-09-30,40.33,$4.93,8.19
2013-06-30,36.28,$2.59,14.02
2013-03-31,32.16,$1.65,19.49
2012-12-31,34.7,$2.65,13.11
2012-09-30,30.8,$-0.59,0.0
2012-06-30,29.73,$0.56,52.85
2012-03-31,26.1,$-0.50,0.0
2011-12-31,24.36,$-1.44,0.0
2011-09-30,18.75,$0.70,26.78
2011-06-30,27.36,$1.50,18.24
2011-03-31,24.39,$2.61,9.34
2010-12-31,21.42,$3.58,5.99
2010-09-30,20.48,$4.75,4.31
2010-06-30,19.44,$4.09,4.76
2010-03-31,22.03,$7.65,2.88
2009-12-31,16.52,$9.51,1.74
2009-09-30,17.98,$8.09,2.22
