Trustmark Price to Free Cash Flow Ratio Historical Data,Trustmark Price to Free Cash Flow Ratio Historical Data,Trustmark Price to Free Cash Flow Ratio Historical Data,Trustmark Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,35.31,,20.52
2024-06-30,29.83,$1.72,17.34
2024-03-31,27.7,$1.77,15.63
2023-12-31,27.24,$2.59,10.51
2023-09-30,21.02,$2.66,7.89
2023-06-30,20.23,$2.22,9.13
2023-03-31,23.4,$3.34,7.02
2022-12-31,32.81,$4.48,7.33
2022-09-30,28.61,$4.95,5.78
2022-06-30,27.07,$4.67,5.79
2022-03-31,27.96,$4.86,5.75
2021-12-31,29.65,$5.12,5.79
2021-09-30,29.21,$5.05,5.78
2021-06-30,27.72,$3.35,8.26
2021-03-31,30.09,$3.20,9.4
2020-12-31,24.23,$0.72,33.84
2020-09-30,18.82,$1.30,14.43
2020-06-30,21.34,$1.83,11.64
2020-03-31,20.09,$0.09,226.97
2019-12-31,29.51,$1.58,18.67
2019-09-30,28.98,$0.97,29.79
2019-06-30,28.05,$2.13,13.18
2019-03-31,28.17,$2.71,10.39
2018-12-31,23.66,$3.33,7.1
2018-09-30,28.01,$2.96,9.46
2018-06-30,26.98,$3.12,8.64
2018-03-31,25.58,$3.21,7.97
2017-12-31,25.97,$2.97,8.74
2017-09-30,26.81,$3.57,7.51
2017-06-30,25.83,$2.87,9.01
2017-03-31,25.35,$2.71,9.35
2016-12-31,28.23,$2.14,13.2
2016-09-30,21.68,$1.65,13.11
2016-06-30,19.39,$1.81,10.72
2016-03-31,17.8,$2.47,7.22
2015-12-31,17.63,$2.41,7.33
2015-09-30,17.57,$1.98,8.86
2015-06-30,18.75,$2.46,7.62
2015-03-31,18.06,$2.10,8.6
2014-12-31,18.07,$3.01,6.0
2014-09-30,16.8,$2.83,5.93
2014-06-30,17.84,$4.19,4.26
2014-03-31,18.13,$5.36,3.38
2013-12-31,19.01,$4.31,4.41
2013-09-30,17.99,$5.42,3.32
2013-06-30,17.11,$2.99,5.73
2013-03-31,17.26,$0.82,21.15
2012-12-31,15.35,$1.47,10.46
2012-09-30,16.46,$0.40,41.24
2012-06-30,16.4,$0.40,41.48
2012-03-31,16.58,$1.45,11.43
2011-12-31,15.97,$2.52,6.34
2011-09-30,11.8,$3.17,3.72
2011-06-30,15.05,$3.19,4.72
2011-03-31,14.91,$3.07,4.86
2010-12-31,15.66,$3.13,5.01
2010-09-30,13.56,$2.39,5.69
2010-06-30,12.83,$4.56,2.81
2010-03-31,14.91,$4.70,3.17
2009-12-31,13.62,$2.88,4.74
