Stock Yards Bancorp Price to Free Cash Flow Ratio Historical Data,Stock Yards Bancorp Price to Free Cash Flow Ratio Historical Data,Stock Yards Bancorp Price to Free Cash Flow Ratio Historical Data,Stock Yards Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,66.09,,15.71
2024-06-30,49.42,$4.21,11.74
2024-03-31,48.36,$3.69,13.11
2023-12-31,50.56,$3.43,14.73
2023-09-30,38.36,$4.09,9.37
2023-06-30,43.98,$5.09,8.64
2023-03-31,53.14,$4.16,12.78
2022-12-31,62.27,$3.98,15.66
2022-09-30,64.89,$3.99,16.25
2022-06-30,56.83,$2.29,24.79
2022-03-31,50.01,$2.80,17.84
2021-12-31,60.09,$3.88,15.5
2021-09-30,54.91,$3.91,14.04
2021-06-30,47.39,$3.86,12.27
2021-03-31,47.3,$3.83,12.37
2020-12-31,37.32,$3.20,11.65
2020-09-30,31.17,$2.33,13.41
2020-06-30,36.55,$2.85,12.81
2020-03-31,26.1,$2.61,10.01
2019-12-31,36.67,$2.46,14.91
2019-09-30,32.56,$2.34,13.89
2019-06-30,31.86,$1.92,16.58
2019-03-31,29.58,$2.52,11.75
2018-12-31,28.5,$2.57,11.07
2018-09-30,31.27,$2.03,15.41
2018-06-30,32.65,$2.43,13.44
2018-03-31,29.87,$2.00,14.91
2017-12-31,31.87,$2.21,14.4
2017-09-30,31.95,$2.68,11.94
2017-06-30,32.51,$2.45,13.25
2017-03-31,33.79,$2.44,13.87
2016-12-31,38.85,$2.50,15.54
2016-09-30,27.16,$2.29,11.86
2016-06-30,23.13,$2.52,9.18
2016-03-31,20.92,$2.28,9.19
2015-12-31,20.38,$1.77,11.53
2015-09-30,19.48,$1.78,10.91
2015-06-30,20.11,$1.33,15.16
2015-03-31,18.2,$1.61,11.33
2014-12-31,17.51,$1.70,10.28
2014-09-30,15.7,$1.77,8.89
2014-06-30,15.48,$2.21,7.0
2014-03-31,16.26,$1.86,8.73
2013-12-31,16.29,$2.60,6.27
2013-09-30,14.36,$1.54,9.32
2013-06-30,12.34,$1.00,12.36
2013-03-31,11.23,$1.01,11.15
2012-12-31,11.09,$0.55,20.16
2012-09-30,11.6,$1.95,5.94
2012-06-30,11.65,$1.93,6.02
2012-03-31,11.19,$1.83,6.12
2011-12-31,9.82,$1.74,5.63
2011-09-30,8.82,$1.71,5.15
2011-06-30,10.92,$0.98,11.18
2011-03-31,11.73,$0.59,19.78
2010-12-31,11.36,$1.47,7.7
2010-09-30,11.4,$0.47,24.12
2010-06-30,10.48,$1.61,6.51
2010-03-31,10.3,$1.60,6.43
2009-12-31,9.6,$0.51,18.87
