Vistra Price to Free Cash Flow Ratio Historical Data,Vistra Price to Free Cash Flow Ratio Historical Data,Vistra Price to Free Cash Flow Ratio Historical Data,Vistra Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,85.43,,13.25
2024-06-30,85.98,$6.45,13.34
2024-03-31,69.48,$7.84,8.86
2023-12-31,38.3,$10.37,3.69
2023-09-30,32.8,$9.35,3.51
2023-06-30,25.79,$7.16,3.6
2023-03-31,23.39,$0.22,105.07
2022-12-31,22.43,$-1.75,0.0
2022-09-30,20.14,$-1.78,0.0
2022-06-30,21.76,$-2.31,0.0
2022-03-31,21.97,$-6.30,0.0
2021-12-31,21.35,$-5.63,0.0
2021-09-30,15.92,$-4.10,0.0
2021-06-30,17.13,$-3.87,0.0
2020-12-31,17.86,$4.28,4.17
2020-09-30,17.01,$10.99,1.55
2020-06-30,16.67,$5.53,3.01
2020-03-31,14.19,$6.26,2.27
2019-12-31,20.24,$6.34,3.19
2021-03-31,16.19,$-1.06,0.0
2019-09-30,23.41,$3.46,6.76
2019-06-30,19.73,$3.40,5.81
2019-03-31,22.57,$2.53,8.92
2018-12-31,19.75,$1.88,10.52
2018-09-30,21.47,$2.22,9.69
2018-06-30,20.42,$1.74,11.72
2018-03-31,17.97,$2.34,7.69
