Gyre Therapeutics Price to Free Cash Flow Ratio Historical Data,Gyre Therapeutics Price to Free Cash Flow Ratio Historical Data,Gyre Therapeutics Price to Free Cash Flow Ratio Historical Data,Gyre Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,14.02,,143.5
2024-06-30,11.93,$0.10,122.11
2024-03-31,17.48,$0.19,91.81
2023-12-31,25.69,$0.27,93.76
2023-09-30,7.23,$10.22,0.71
2023-06-30,5.27,$11.59,0.45
2023-03-31,3.11,$5.93,0.52
2022-12-31,4.13,$0.08,54.97
2022-09-30,3.95,$-24.26,0.0
2022-06-30,2.09,$-31.33,0.0
2022-03-31,0.77,$-34.27,0.0
2021-12-31,1.07,$-41.39,0.0
2021-09-30,4.82,$-52.69,0.0
2021-06-30,5.07,$-47.95,0.0
2021-03-31,5.91,$-51.17,0.0
2020-12-31,7.4,$-43.24,0.0
2020-09-30,5.04,$-32.69,0.0
2020-06-30,6.88,$-38.16,0.0
2020-03-31,5.12,$-40.73,0.0
2019-12-31,7.98,$-54.55,0.0
2019-09-30,5.75,$-58.28,0.0
2019-06-30,8.64,$-55.82,0.0
2019-03-31,9.51,$-48.59,0.0
2018-12-31,9.25,$-38.68,0.0
2018-09-30,12.63,$-64.81,0.0
2018-06-30,13.68,$-69.76,0.0
2018-03-31,30.24,$-25.18,0.0
2017-12-31,15.99,$-87.41,0.0
2017-09-30,5.93,$-99.88,0.0
2017-06-30,5.45,$-177.65,0.0
2017-03-31,11.05,$-291.15,0.0
2016-12-31,11.43,$-315.17,0.0
2016-09-30,21.27,$-660.32,0.0
2016-06-30,26.72,"$-1,156.59",0.0
